,Player,Team,DYAR,DVOA,Targets,Yards,EfYds,TD,Catch_rate,Year,Yds
0,S.Morgan,NE,544,40.10%,135,,"1,641",10,62%,1986,"1,492"
1,M.Duper,MIA,366,23.60%,131,,"1,362",11,51%,1986,"1,313"
2,J.Rice,SF,364,18.60%,152,,"1,486",15,57%,1986,"1,567"
3,W.Walker,NYJ,334,34.90%,85,,"1,065",12,58%,1986,"1,015"
4,G.Clark,WAS,309,14.30%,145,,"1,386",7,51%,1986,"1,265"
5,B.Brennan,CLE1,267,26.90%,87,,943,6,63%,1986,838
6,M.Clayton,MIA,263,16.20%,118,,"1,130",10,51%,1986,"1,150"
7,C.Collinsworth,CIN,257,15.10%,117,,"1,131",10,53%,1986,"1,024"
8,E.Brown,CIN,218,15.90%,102,,943,4,57%,1986,964
9,A.Carter,MIN,208,22.90%,74,,782,7,51%,1986,686
10,S.Largent,SEA,207,10.50%,119,,"1,032",9,59%,1986,"1,070"
11,B.Brooks,IND,202,8.00%,128,,"1,090",8,51%,1986,"1,131"
12,E.Givins,HOIL,197,8.50%,121,,"1,044",3,50%,1986,"1,062"
13,W.Stanley,GB,180,27.60%,61,,629,2,57%,1986,723
14,A.Toon,NYJ,179,4.20%,137,,"1,130",8,62%,1986,"1,176"
15,J.Chadwick,DET,176,8.40%,106,,940,5,50%,1986,995
16,C.Burkett,BUF,173,25.20%,60,,627,4,57%,1986,778
17,D.Hill,HOIL,164,3.60%,132,,"1,064",5,49%,1986,"1,111"
18,A.Reed,BUF,156,7.30%,96,,867,7,55%,1986,739
19,J.T.Smith,STLC,155,2.70%,137,,"1,048",6,58%,1986,"1,014"
20,Dok.Williams,LARD,143,8.60%,88,,756,8,49%,1986,842
21,S.Watson,DEN,136,7.50%,85,,748,3,53%,1986,699
22,C.Brown,ATL,132,2.10%,117,,920,4,54%,1986,917
23,S.Paige,KC,131,1.70%,112,,936,11,46%,1986,829
24,N.Moore,MIA,129,13.20%,61,,597,7,62%,1986,431
25,P.Epps,GB,122,7.70%,76,,670,4,64%,1986,612
26,T.Hill,DAL,121,3.50%,98,,791,3,50%,1986,770
27,Bo.Johnson,NYG,120,15.90%,58,,518,5,53%,1986,534
28,I.Fryar,NE,118,5.60%,86,,700,6,50%,1986,737
29,H.Jones,MIN,107,14.90%,54,,473,4,52%,1986,570
30,S.Robinson,NYG,101,10.60%,55,,503,2,53%,1986,494
31,M.Jackson,DEN,90,5.20%,70,,544,1,54%,1986,742
32,J.Hester,LARD,89,5.60%,62,,529,6,37%,1986,632
33,R.Green,STLC,88,1.60%,77,,631,6,55%,1986,517
34,M.Sherrard,DAL,82,-0.40%,90,,663,5,46%,1986,744
35,D.Clark,SF,81,-3.10%,109,,808,2,56%,1986,794
36,J.Stallworth,PIT,74,1.00%,66,,550,1,52%,1986,466
37,L.Thompson,DET,72,5.80%,52,,425,5,48%,1986,320
38,B.Franklin,SEA,52,-1.30%,59,,453,2,56%,1986,547
39,R.Langhorne,CLE1,49,-3.70%,71,,523,1,55%,1986,678
40,M.Jones,NO,47,-5.20%,80,,574,3,60%,1986,625
41,G.Carter,TB,43,-6.70%,91,,657,2,46%,1986,640
42,K.Jackson,PHI,43,-4.80%,73,,502,6,41%,1986,506
43,E.Martin,NO,40,-5.90%,80,,546,5,46%,1986,675
44,V.Johnson,DEN,35,-4.30%,52,,394,2,60%,1986,363
45,W.Chandler,SD,35,-9.00%,123,,815,4,46%,1986,874
46,C.Joiner,SD,34,-5.80%,63,,454,2,54%,1986,440
47,W.Gault,CHI,32,-8.40%,96,,656,5,44%,1986,818
48,R.Brown,LARM,22,-8.40%,64,,455,3,39%,1986,396
49,F.Dixon,ATL,16,-10.00%,84,,537,2,50%,1986,617
50,Tru.Johnson,SD,15,-8.80%,56,,342,1,54%,1986,399
51,D.Turner,SEA,14,-9.30%,52,,355,7,35%,1986,334
52,L.Lipps,PIT,10,-11.30%,92,,603,3,41%,1986,590
53,K.House,2TM,-1,-13.00%,51,,310,2,35%,1986,384
54,W.Slaughter,CLE1,-4,-13.20%,82,,495,4,49%,1986,579
55,L.Lewis,MIN,-13,-14.90%,78,,458,2,41%,1986,600
56,M.Quick,PHI,-21,-14.60%,138,,846,9,43%,1986,932
57,H.Ellard,LARM,-29,-17.70%,75,,430,4,45%,1986,447
58,C.Bland,DET,-32,-18.20%,77,,429,2,57%,1986,511
59,M.Bouza,IND,-35,-16.00%,139,,801,5,51%,1986,830
60,A.Monk,WAS,-39,-16.00%,147,,879,4,50%,1986,"1,066"
61,H.Marshall,KC,-40,-17.80%,100,,564,1,46%,1986,652
62,C.Sweeney,PIT,-51,-24.20%,57,,284,1,37%,1986,337
63,K.Ortego,CHI,-54,-24.80%,58,,279,2,40%,1986,430
64,J.Lofton,GB,-111,-22.80%,142,,723,4,45%,1986,840
65,R.Butler,SEA,105,26.50%,37,,367,4,51%,1986,351
66,M.Renfro,DAL,89,16.50%,38,,380,3,58%,1986,325
67,R.Sanders,WAS,85,31.90%,25,,282,2,56%,1986,286
68,P.McConkey,NYG,83,21.60%,33,,321,1,48%,1986,279
69,J.Butler,BUF,79,23.90%,28,,291,2,54%,1986,302
70,G.Garrity,PHI,77,47.00%,18,,217,0,67%,1986,227
71,T.McGee,CIN,64,16.30%,32,,274,1,50%,1986,276
72,C.Carson,KC,64,6.00%,47,,370,4,45%,1986,497
73,P.Skansi,SEA,61,14.80%,30,,272,0,73%,1986,271
74,K.Sohn,NYJ,60,40.00%,13,,180,2,62%,1986,117
75,C.Jones,NE,52,17.60%,23,,218,1,61%,1986,221
76,S.Starring,NE,50,8.00%,31,,273,2,52%,1986,295
77,G.Banks,DAL,45,8.40%,26,,242,0,65%,1986,202
78,K.Williams,ATL,33,11.80%,18,,160,1,67%,1986,164
79,J.Jones,ATL,32,13.40%,15,,145,0,47%,1986,141
80,R.Barksdale,LARD,27,-4.90%,47,,326,2,38%,1986,434
81,E.Harry,KC,26,3.00%,23,,172,1,39%,1986,211
82,A.Allen,ATL,25,3.10%,21,,169,2,48%,1986,156
83,W.Thompson,PIT,23,-5.80%,42,,312,5,40%,1986,191
84,J.Gustafson,MIN,23,19.50%,10,,92,2,50%,1986,61
85,H.Harris,NO,21,3.70%,16,,134,0,69%,1986,148
86,D.Crawford,SF,18,9.60%,10,,90,0,50%,1986,70
87,R.Johnson,PHI,13,-6.30%,28,,177,1,39%,1986,207
88,E.Goodlow,NO,12,-8.80%,44,,283,2,45%,1986,306
89,S.Kreider,CIN,9,-2.80%,13,,89,0,38%,1986,96
90,W.Drewrey,HOIL,9,-9.90%,42,,268,0,43%,1986,299
91,P.Smith,PHI,8,-2.80%,10,,74,0,60%,1986,99
92,Da.Williams,TB,5,-7.00%,13,,85,0,46%,1986,91
93,L.Manuel,NYG,-2,-13.70%,31,,187,3,35%,1986,181
94,J.Jensen,MIA,-4,-17.00%,12,,69,1,42%,1986,50
95,M.Young,LARM,-4,-14.60%,30,,181,3,50%,1986,183
96,J.Pruitt,MIA,-12,-16.80%,38,,215,2,39%,1986,235
97,J.Teal,BUF,-14,-26.40%,13,,64,1,46%,1986,60
98,Mi.Wilson,SF,-16,-23.00%,21,,105,1,43%,1986,104
99,B.Duckworth,2TM,-18,-20.20%,31,,169,1,32%,1986,148
100,L.Barnes,CHI,-19,-33.40%,12,,46,0,33%,1986,54
101,M.Akiu,HOIL,-19,-34.10%,12,,44,0,33%,1986,67
102,K.Edwards,NO,-19,-23.40%,24,,116,0,42%,1986,132
103,T.Smith,HOIL,-21,-36.90%,12,,39,0,33%,1986,72
104,P.Freeman,TB,-21,-20.70%,36,,184,2,39%,1986,229
105,P.Mandley,DET,-30,-41.80%,14,,40,0,50%,1986,106
106,C.Weathers,CLE1,-30,-31.30%,22,,88,0,41%,1986,100
107,E.Richardson,BUF,-30,-55.60%,10,,13,0,30%,1986,49
108,C.Fox,STLC,-32,-47.40%,11,,28,1,45%,1986,59
109,Bi.Johnson,ATL,-34,-49.00%,13,,26,0,46%,1986,57
110,J.Harbour,IND,-34,-59.30%,10,,9,0,40%,1986,46
111,Troy Johnson,STLC,-37,-26.40%,38,,165,0,37%,1986,203
112,De.Williams,NE,-37,-58.90%,10,,11,0,20%,1986,35
113,W.Capers,IND,-43,-36.30%,25,,84,0,36%,1986,118
114,B.Rhymes,MIN,-47,-72.50%,10,,-5,0,30%,1986,25
115,V.Heflin,TB,-61,-65.20%,15,,4,0,20%,1986,42
116,C.Sampson,DEN,-62,-34.50%,41,,138,0,51%,1986,259
117,T.Moffett,LARD,-68,-55.70%,20,,28,0,30%,1986,77
118,S.Miller,NYG,-72,-43.20%,33,,86,2,27%,1986,144
119,D.Gentry,CHI,-77,-34.00%,47,,181,0,40%,1986,238
120,J.Rice,SF,389,30.00%,112,,"1,315",22,58%,1987,"1,078"
121,A.Carter,MIN,274,35.60%,76,,865,7,50%,1987,922
122,A.Toon,NYJ,268,21.90%,98,,"1,025",5,69%,1987,976
123,E.Martin,NO,225,45.50%,49,,648,4,61%,1987,572
124,M.Clayton,MIA,225,23.70%,78,,836,7,59%,1987,776
125,C.Carson,KC,220,15.30%,104,,965,7,53%,1987,"1,044"
126,W.Slaughter,CLE1,213,17.80%,86,,884,7,55%,1987,806
127,S.Morgan,NE,205,29.20%,63,,701,3,63%,1987,672
128,D.Hill,HOIL,195,13.60%,98,,895,6,50%,1987,989
129,J.T.Smith,STLC,189,9.10%,116,,985,8,66%,1987,900
130,C.Burkett,BUF,177,16.90%,79,,747,4,71%,1987,765
131,G.Clark,WAS,168,8.80%,101,,886,7,55%,1987,"1,066"
132,V.Johnson,DEN,167,20.60%,68,,656,7,62%,1987,684
133,J.Lofton,LARD,155,11.00%,85,,759,5,48%,1987,880
134,A.Reed,BUF,144,8.00%,90,,781,5,63%,1987,752
135,M.Renfro,DAL,136,13.90%,70,,616,4,59%,1987,583
136,Mi.Wilson,SF,124,19.10%,50,,501,5,58%,1987,450
137,W.Gault,CHI,122,7.40%,76,,676,7,46%,1987,705
138,Ce.Jones,NE,121,22.50%,42,,458,3,60%,1987,388
139,R.Sanders,WAS,121,12.20%,63,,573,3,59%,1987,630
140,S.Paige,KC,120,6.50%,81,,685,4,53%,1987,707
141,G.Carter,TB,117,7.40%,74,,649,5,51%,1987,586
142,R.Nattiel,DEN,106,11.80%,58,,510,2,53%,1987,630
143,E.Givins,HOIL,100,0.10%,103,,786,6,51%,1987,933
144,C.Collinsworth,CIN,94,10.20%,53,,475,0,58%,1987,494
145,M.Duper,MIA,92,4.10%,71,,585,8,46%,1987,568
146,B.Brennan,CLE1,91,9.10%,53,,475,5,62%,1987,468
147,R.Green,STLC,89,2.30%,80,,616,4,53%,1987,715
148,S.Largent,SEA,82,1.40%,77,,599,5,57%,1987,669
149,D.McKinnon,CHI,80,10.80%,44,,396,1,61%,1987,406
150,R.Butler,SEA,79,6.40%,55,,453,5,60%,1987,465
151,M.Quick,PHI,73,-2.70%,94,,698,11,49%,1987,790
152,H.Ellard,LARM,72,-3.00%,95,,714,3,54%,1987,799
153,P.Epps,GB,63,2.50%,57,,431,2,60%,1987,517
154,P.Mandley,DET,60,-5.00%,103,,729,7,56%,1987,720
155,L.Manuel,NYG,57,-0.90%,63,,477,6,48%,1987,545
156,L.James,SD,47,-3.80%,71,,498,3,58%,1987,593
157,M.Bouza,IND,46,-3.70%,66,,485,4,64%,1987,569
158,L.Lewis,MIN,43,-0.90%,50,,362,2,48%,1987,383
159,F.Dixon,ATL,41,-5.40%,73,,528,5,49%,1987,600
160,I.Fryar,NE,37,-5.30%,62,,462,5,50%,1987,467
161,J.Pruitt,MIA,34,-3.80%,51,,359,3,51%,1987,404
162,M.Jones,NO,33,-4.30%,53,,365,3,51%,1987,420
163,W.Stanley,GB,30,-7.70%,78,,540,3,49%,1987,672
164,Br.Hill,TB,28,-5.50%,52,,355,2,44%,1987,403
165,B.Brooks,IND,27,-9.10%,93,,654,3,55%,1987,722
166,F.Neal,GB,25,-7.10%,62,,401,3,58%,1987,420
167,J.Chadwick,DET,15,-8.90%,53,,353,0,55%,1987,407
168,M.Jackson,DEN,13,-9.50%,54,,359,2,48%,1987,436
169,D.Turner,SEA,11,-9.30%,37,,289,6,38%,1987,153
170,M.Carrier,TB,6,-11.50%,62,,401,3,42%,1987,423
171,A.Monk,WAS,5,-11.70%,74,,476,6,51%,1987,483
172,K.Jackson,PHI,-9,-15.00%,52,,293,3,40%,1987,471
173,A.Matthews,ATL,-13,-14.80%,75,,470,3,43%,1987,548
174,R.Brown,LARM,-17,-15.90%,68,,406,2,38%,1987,510
175,E.Brown,CIN,-18,-15.40%,85,,513,3,52%,1987,608
176,K.Sohn,NYJ,-19,-18.00%,49,,270,2,47%,1987,261
177,W.Chandler,SD,-25,-16.50%,86,,494,2,45%,1987,617
178,Ti.McGee,CIN,-27,-19.00%,55,,312,1,42%,1987,398
179,S.Baker,NYG,-47,-27.80%,40,,183,2,38%,1987,277
180,K.Edwards,DAL,-55,-28.00%,46,,211,0,43%,1987,249
181,J.Stallworth,PIT,-135,-33.90%,83,,319,1,43%,1987,467
182,M.Martin,CIN,140,40.50%,34,,422,3,59%,1987,394
183,D.Williams,LARD,77,13.50%,39,,355,5,54%,1987,330
184,R.Morris,CHI,66,11.80%,35,,315,1,57%,1987,379
185,S.Watson,DEN,65,62.90%,11,,166,1,91%,1987,118
186,G.Garrity,PHI,63,21.10%,28,,246,2,43%,1987,242
187,R.Massie,DEN,63,50.90%,13,,172,2,54%,1987,150
188,L.Hill,NO,61,8.20%,39,,325,2,49%,1987,322
189,G.McNeil,CLE1,60,51.20%,12,,166,2,67%,1987,120
190,J.Holland,SD,58,63.20%,9,,149,0,67%,1987,138
191,O.Turner,NYG,49,23.60%,19,,184,1,53%,1987,195
192,S.Starring,NE,46,5.00%,33,,277,3,52%,1987,289
193,G.Banks,DAL,45,10.20%,26,,224,1,58%,1987,231
194,R.Langhorne,CLE1,44,2.70%,37,,295,1,54%,1987,288
195,C.Weathers,CLE1,41,8.80%,24,,215,2,46%,1987,153
196,Tru.Johnson,BUF,36,2.80%,28,,241,2,54%,1987,186
197,C.Duncan,HOIL,34,0.70%,33,,259,5,39%,1987,237
198,C.Carter,PHI,32,25.70%,11,,115,2,45%,1987,84
199,J.Taylor,SF,29,8.60%,16,,152,0,56%,1987,151
200,D.Clark,SF,28,5.10%,21,,171,2,62%,1987,164
201,H.Jones,MIN,27,7.60%,19,,150,2,37%,1987,189
202,S.Bailey,ATL,24,-3.60%,36,,255,3,56%,1987,323
203,M.Pattison,NO,20,2.20%,17,,140,0,53%,1987,132
204,W.Thompson,PIT,20,-5.30%,35,,245,1,49%,1987,313
205,G.Lee,DET,18,-6.40%,36,,257,0,53%,1987,308
206,H.Marshall,KC,15,-1.80%,18,,134,0,56%,1987,126
207,J.Jensen,MIA,13,-8.10%,35,,247,1,74%,1987,221
208,P.McConkey,NYG,12,-3.90%,19,,129,0,58%,1987,186
209,W.Walker,NYJ,11,-4.60%,17,,130,1,53%,1987,190
210,P.Skansi,SEA,8,-8.90%,29,,189,1,66%,1987,207
211,So.Miller,TB,8,-4.30%,12,,86,0,42%,1987,97
212,Troy Johnson,STLC,6,-7.20%,16,,100,1,56%,1987,138
213,M.Young,LARM,2,-9.70%,10,,63,1,40%,1987,56
214,I.Hillary,CIN,2,-9.20%,10,,47,0,50%,1987,65
215,H.Jeffires,HOIL,-5,-16.50%,15,,93,0,40%,1987,81
216,P.Freeman,TB,-7,-17.30%,19,,109,2,42%,1987,141
217,C.Brown,ATL,-8,-21.60%,14,,61,0,36%,1987,103
218,D.Gentry,CHI,-12,-18.10%,27,,161,1,63%,1987,183
219,L.Lipps,PIT,-13,-18.30%,30,,162,0,37%,1987,164
220,K.House,LARM,-27,-32.30%,17,,72,1,35%,1987,63
221,J.Townsell,NYJ,-30,-46.30%,13,,28,0,31%,1987,37
222,S.Robinson,NYG,-33,-34.70%,20,,72,2,30%,1987,58
223,W.Murray,IND,-40,-46.40%,16,,37,0,38%,1987,83
224,C.Sweeney,PIT,-45,-28.30%,37,,168,0,43%,1987,221
225,Do.Holmes,STLC,-47,-39.10%,24,,75,0,46%,1987,132
226,M.Nichols,DET,-48,-44.90%,20,,50,0,35%,1987,87
227,J.Hester,LARD,-49,-76.10%,11,,-10,0,9%,1987,30
228,R.Barksdale,DAL,-50,-32.70%,32,,129,1,38%,1987,165
229,B.Johnson,ATL,-53,-55.80%,16,,22,0,50%,1987,84
230,K.Paskett,GB,-55,-36.20%,32,,110,1,38%,1987,188
231,W.Drewrey,HOIL,-64,-41.40%,30,,87,0,37%,1987,148
232,D.Colbert,KC,-68,-89.10%,13,,-28,0,23%,1987,21
233,M.Fernandez,LARD,-105,-55.80%,32,,43,0,31%,1987,142
234,C.Lockett,PIT,-105,-54.20%,35,,51,1,20%,1987,116
235,E.Brown,CIN,412,39.60%,99,,"1,250",9,54%,1988,"1,273"
236,R.Sanders,WAS,341,20.60%,130,,"1,340",12,56%,1988,"1,148"
237,D.Hill,HOIL,334,24.30%,121,,"1,228",10,60%,1988,"1,141"
238,M.Clayton,MIA,331,15.10%,152,,"1,458",14,57%,1988,"1,131"
239,H.Ellard,LARM,309,12.40%,153,,"1,458",10,56%,1988,"1,398"
