,Player,College,Height,Weight,Hand_size,Arm_length,40_time,Bench,Vert,Broad,Shuttle,Year
0,1987,Steve Bartalo,Colorado State,9.50,,28.5,114,4.05,4.05,4.05,4.05,1987
1,1987,Rod Bernstine,Texas A&M,10.00,,29.5,112,4.39,4.39,4.39,4.39,1987
2,1987,Tom Brown,Pittsburgh,8.50,,25.5,97,4.35,4.35,4.35,4.35,1987
3,1987,Tony Burse,Middle Tennessee State,9.50,,27.5,104,4.88,4.88,4.88,4.88,1987
4,1987,D.J. Dozier,Penn State,10.25,,34.0,122,9.99,9.99,9.99,9.99,1987
5,1987,Doug Dubose,Nebraska,8.75,,,,9.99,9.99,9.99,9.99,1987
6,1987,Larry Emory,Wisconsin,9.25,,30.0,116,4.02,4.02,4.02,4.02,1987
7,1987,Terrence Flagler,Clemson,9.75,,30.5,113,4.41,4.41,4.41,4.41,1987
8,1987,Kenneth Flowers,Clemson,9.50,,31.0,119,4.40,4.40,4.40,4.40,1987
9,1987,Tracy Ham,Georgia Southern,9.25,,28.0,110,4.28,4.28,4.28,4.28,1987
10,1987,Lakei Heimuli,Brigham Young,9.50,,29.5,101,4.75,4.75,4.75,4.75,1987
11,1987,John Holifield,West Virginia,9.25,,30.5,115,4.15,4.15,4.15,4.15,1987
12,1987,Alfred Jenkins,Arizona,10.25,,31.0,116,4.49,4.49,4.49,4.49,1987
13,1987,Tim Jessie,Auburn,9.50,,,,9.99,9.99,9.99,9.99,1987
14,1987,Bobby Morse,Michigan State,9.75,,29.0,110,4.07,4.07,4.07,4.07,1987
15,1987,Christian Okoye,Azusa Pacific (CA),9.75,,31.0,,9.99,9.99,9.99,9.99,1987
16,1987,Darryl Oliver,Miami (FL),9.50,,28.0,112,4.40,4.40,4.40,4.40,1987
17,1987,Paul Palmer,Temple,9.75,,30.0,116,4.22,4.22,4.22,4.22,1987
18,1987,Kerry Porter,Washington State,9.50,,32.5,118,4.18,4.18,4.18,4.18,1987
19,1987,John Settle,Appalachian State (NC),8.75,,29.0,112,4.51,4.51,4.51,4.51,1987
20,1987,Edwin Simmons,Texas,10.00,,34.0,123,4.77,4.77,4.77,4.77,1987
21,1987,Don Smith,Mississippi State,,,30.0,114,9.99,9.99,9.99,9.99,1987
22,1987,Steve Smith,Penn State,10.75,,,,9.99,9.99,9.99,9.99,1987
23,1987,Timmy Smith,Texas Tech,9.00,,,,9.99,9.99,9.99,9.99,1987
24,1987,Troy Stradford,Boston College,,,31.0,116,4.55,4.55,4.55,4.55,1987
25,1987,George Swarn,Miami (OH),8.50,,33.5,121,4.25,4.25,4.25,4.25,1987
26,1987,Spencer Tillman,Oklahoma,9.25,,27.0,103,4.21,4.21,4.21,4.21,1987
27,1987,Maurice Williams,Virginia Tech,7.50,,28.0,104,4.57,4.57,4.57,4.57,1987
28,1987,Carl Woods,Vanderbilt,9.75,,27.5,106,4.19,4.19,4.19,4.19,1987
29,1987,John Wooldridge,Ohio State,,,,,9.99,9.99,9.99,9.99,1987
30,1988,Marvin Allen,Tulane (LA),9.00,,31.0,110,4.54,4.54,4.54,4.54,1988
31,1988,Richard Calvin,Washington State,8.25,,28.0,109,4.44,4.44,4.44,4.44,1988
32,1988,Patrick Collins,Oklahoma,9.25,,33.5,110,4.29,4.29,4.29,4.29,1988
33,1988,George Cooper,Ohio State,9.50,,30.0,109,4.29,4.29,4.29,4.29,1988
34,1988,Robert Delpino,Missouri,9.50,,34.0,120,4.15,4.15,4.15,4.15,1988
35,1988,Lucius Floyd,Nevada Las Vegas,8.50,,31.5,117,4.28,4.28,4.28,4.28,1988
