,Player,Team,DYAR,DVOA,Rushes,Yards,EfYds,TD,Suc_rate,Year,Yds
0,C.Warner,SEA,385,20.30%,319,,"1,770",13,51%,1986,"1,481"
1,G.Rogers,WAS,380,18.50%,303,,"1,822",18,57%,1986,"1,202"
2,J.Brooks,CIN,291,29.90%,205,,"1,125",5,49%,1986,"1,086"
3,E.Dickerson,LARM,291,8.30%,404,,"1,955",12,54%,1986,"1,821"
4,E.Jackson,PIT,233,16.20%,217,,"1,185",5,53%,1986,916
5,J.Jones,DET,229,11.60%,252,,"1,349",8,51%,1986,906
6,J.Morris,NYG,216,6.50%,341,,"1,583",14,47%,1986,"1,516"
7,G.Riggs,ATL,209,5.20%,343,,"1,645",9,53%,1986,"1,327"
8,H.Walker,DAL,197,21.90%,152,,875,12,57%,1986,737
9,W.Payton,CHI,178,4.50%,319,,"1,458",8,54%,1986,"1,337"
10,L.Hampton,MIA,174,12.40%,188,,996,9,51%,1986,836
11,W.Abercrombie,PIT,173,10.70%,215,,"1,048",6,47%,1986,880
12,R.Craig,SF,158,9.20%,204,,"1,019",7,49%,1986,830
13,R.Mayes,NO,155,5.00%,286,,"1,234",8,48%,1986,"1,345"
14,K.Mack,CLE1,155,10.00%,174,,966,11,57%,1986,665
15,S.Mitchell,STLC,110,6.10%,177,,821,5,47%,1986,805
16,L.Kinnebrew,CIN,95,5.90%,131,,713,8,54%,1986,520
17,J.L.Williams,SEA,93,6.40%,129,,682,0,57%,1986,538
18,B.Redden,LARM,92,11.40%,110,,544,4,53%,1986,467
19,D.Nelson,MIN,81,1.90%,191,,793,4,45%,1986,793
20,K.Davis,GB,80,7.60%,114,,553,1,46%,1986,519
21,T.Dorsett,DAL,76,2.70%,183,,704,5,45%,1986,748
22,G.James,DET,66,1.80%,160,,652,3,42%,1986,690
23,S.Winder,DEN,61,-2.50%,240,,958,9,44%,1986,789
24,F.McNeil,NYJ,57,-2.40%,214,,873,5,50%,1986,840
25,J.Cribbs,SF,55,-0.10%,152,,640,5,51%,1986,587
26,J.Hector,NYJ,50,-1.30%,164,,676,8,50%,1986,605
27,G.W.Anderson,SD,39,-0.80%,128,,496,1,48%,1986,444
28,N.McCallum,LARD,36,-2.60%,142,,567,1,52%,1986,536
29,M.Pruitt,KC,12,-6.60%,139,,553,2,46%,1986,448
30,C.Dickey,CLE1,2,-8.20%,135,,501,7,41%,1986,523
31,M.Allen,LARD,-3,-9.00%,207,,678,5,43%,1986,757
32,R.Riddick,BUF,-4,-9.30%,150,,514,4,51%,1986,632
33,D.Hilliard,NO,-12,-10.90%,121,,432,5,46%,1986,425
34,E.Ferrell,STLC,-13,-11.20%,124,,425,0,53%,1986,548
35,C.Adams,SD,-30,-14.90%,117,,363,4,42%,1986,364
36,K.Byars,PHI,-34,-13.40%,177,,561,1,40%,1986,576
37,M.Rozier,HOIL,-39,-13.20%,199,,664,4,47%,1986,662
38,J.Wilder,TB,-56,-15.80%,190,,571,2,34%,1986,704
39,R.McMillan,IND,-83,-19.30%,189,,534,3,39%,1986,609
40,C.James,NE,-121,-28.40%,153,,329,4,39%,1986,432
41,T.Collins,NE,-144,-31.80%,156,,300,3,34%,1986,411
42,S.Wilson,CIN,178,47.00%,68,,564,8,,1986,378
43,C.Austin,ATL,105,30.50%,62,,400,1,,1986,280
44,G.Willhite,DEN,94,17.70%,85,,463,5,,1986,365
45,T.Nathan,MIA,80,73.00%,27,,214,0,,1986,203
46,T.Sanders,CHI,77,66.60%,27,,214,5,,1986,224
47,M.Carthon,NYG,68,11.50%,72,,402,0,,1986,260
48,L.Rouson,NYG,60,19.70%,54,,268,2,,1986,179
49,S.Sewell,DEN,57,64.10%,23,,160,1,,1986,123
50,G.Bell,BUF,49,2.80%,91,,451,4,,1986,377
51,R.Wallace,HOIL,48,9.10%,52,,312,3,,1986,218
52,W.Bennett,MIA,48,25.10%,36,,201,0,,1986,162
53,F.Hawkins,LARD,46,10.50%,58,,282,0,,1986,245
54,T.Brown,MIN,46,7.60%,63,,317,4,,1986,251
55,R.Erenberg,PIT,45,17.70%,43,,221,1,,1986,172
56,A.Toney,PHI,45,6.50%,69,,329,1,,1986,285
57,B.Johnson,CIN,44,17.60%,39,,216,0,,1986,226
58,W.Andrews,ATL,36,7.80%,52,,249,1,,1986,214
59,C.White,LARM,35,39.00%,22,,120,0,,1986,126
60,W.Tyler,SF,34,17.00%,31,,168,0,,1986,127
61,A.Anderson,MIN,34,1.00%,83,,359,2,,1986,347
62,C.Byrum,BUF,34,11.60%,38,,198,0,,1986,156
63,G.Ellis,GB,34,0.10%,84,,390,2,,1986,345
64,K.Bryant,WAS,33,4.20%,69,,279,4,,1986,259
65,J.Smith,KC,31,3.70%,54,,268,3,,1986,238
66,R.Davenport,MIA,25,-0.90%,75,,325,0,,1986,316
67,S.Stamps,ATL,23,17.70%,30,,114,0,,1986,220
68,M.Suhey,CHI,22,-3.00%,84,,368,2,,1986,270
69,R.Springs,TB,20,-2.10%,74,,304,0,,1986,285
70,T.Spencer,SD,17,-4.90%,99,,418,6,,1986,350
71,O.Anderson,2TM,16,-3.50%,75,,303,3,,1986,237
72,T.Rathman,SF,14,2.60%,33,,129,1,,1986,138
73,N.Wonsley,TB,12,-4.80%,73,,279,3,,1986,339
74,G.Ellerson,GB,10,-6.00%,90,,360,3,,1986,287
75,H.Heard,KC,7,-6.30%,71,,265,3,,1986,295
76,C.Crawford,PHI,5,-4.30%,28,,112,1,,1986,88
77,T.Newsome,DAL,5,-5.50%,34,,151,2,,1986,110
78,P.O.Carruth,GB,3,-7.80%,81,,322,2,,1986,308
79,G.Lang,DEN,3,-6.20%,29,,108,1,,1986,94
80,M.Haddix,PHI,3,-7.60%,78,,269,0,,1986,269
81,B.Howard,TB,2,-7.00%,30,,118,1,,1986,110
82,F.Pollard,PIT,2,-6.80%,24,,86,0,,1986,86
83,H.Fontenot,CLE1,2,-7.20%,25,,100,1,,1986,105
84,Ri.Moore,BUF,-2,-9.90%,33,,133,1,,1986,104
85,K.Griffin,WAS,-2,-9.50%,62,,205,0,,1986,199
86,B.McGee,SD,-4,-10.00%,62,,254,7,,1986,187
87,A.Bentley,IND,-6,-10.40%,73,,282,3,,1986,351
88,N.Anderson,CHI,-9,-15.00%,36,,107,0,,1986,150
89,C.Thomas,CHI,-10,-12.50%,56,,208,0,,1986,224
90,E.Byner,CLE1,-10,-11.20%,94,,330,2,,1986,277
91,A.Pinkett,HOIL,-11,-12.00%,77,,253,2,,1986,225
92,O.Gill,IND,-11,-13.50%,53,,177,1,,1986,228
93,R.Weathers,NE,-20,-29.70%,21,,50,1,,1986,59
94,G.Wonsley,IND,-24,-18.30%,61,,177,1,,1986,218
95,C.Banks,HOIL,-25,-30.00%,29,,59,0,,1986,80
96,A.Rice,MIN,-29,-17.70%,73,,226,2,,1986,220
97,D.Harmon,SF,-33,-38.70%,27,,41,1,,1986,77
98,L.James,SD,-37,-26.30%,51,,118,0,,1986,224
99,D.Bligen,NYJ,-38,-59.90%,20,,2,1,,1986,65
100,B.Green,KC,-40,-19.80%,90,,244,3,,1986,314
101,B.Jordan,NO,-43,-23.40%,68,,179,1,,1986,207
102,B.Woolfolk,HOIL,-43,-50.90%,24,,18,0,,1986,59
103,R.Harmon,BUF,-53,-31.00%,54,,118,0,,1986,172
104,L.Moriarty,2TM,-63,-25.50%,90,,217,2,,1986,252
105,T.Paige,NYJ,-69,-35.90%,47,,105,2,,1986,109
106,J.Tautalatasi,PHI,-71,-43.60%,51,,60,0,,1986,162
107,M.Tatupu,NE,-74,-30.30%,71,,174,1,,1986,172
108,C.Warner,SEA,293,18.40%,235,,"1,409",8,60%,1987,985
109,J.Hector,NYJ,201,35.10%,111,,724,11,46%,1987,435
