,Player,Team,DYAR,DVOA,QBR,Passes,EYds,TD,INT,C%,Year
516,J.Blake,CIN,191,-1.9%,,325,"1,922",14,9,51.5%,1994
517,R.Cunningham,PHI,176,-5.8%,,533,"2,894",16,12,54.0%,1994
518,J.Friesz,WAS,172,3.8%,,186,"1,158",10,9,58.3%,1994
519,B.Esiason,NYJ,165,-5.5%,,460,"2,564",17,13,58.2%,1994
520,S.Bono,KC,128,5.8%,,117,780,4,4,56.4%,1994
521,J.Hostetler,LARD,118,-7.3%,,497,"2,617",20,16,58.3%,1994
522,H.Millen,DEN,105,0.5%,,140,869,2,2,62.3%,1994
523,J.Schroeder,ARI,74,-6.2%,,244,"1,303",4,7,56.9%,1994
524,N.O'Donnell,PIT,64,-8.5%,,402,"2,072",13,9,58.2%,1994
525,D.Brown,NYG,63,-8.6%,,393,"2,042",12,15,57.9%,1994
526,B.Hebert,ATL,50,-3.6%,,105,607,2,5,51.0%,1994
527,M.Rypien,CLE1,44,-5.8%,,131,729,4,3,46.5%,1994
528,C.Miller,LARM,32,-9.6%,,345,"1,765",16,13,55.1%,1994
529,S.Mitchell,DET,28,-9.4%,,257,"1,299",10,10,49.0%,1994
530,D.Majkowski,IND,16,-9.5%,,162,819,6,7,55.3%,1994
531,E.Kramer,CHI,-31,-13.7%,,175,919,8,8,62.3%,1994
532,R.Mirer,SEA,-34,-12.5%,,406,"1,988",11,6,52.1%,1994
533,G.Frerotte,WAS,-57,-19.2%,,104,488,5,5,46.5%,1994
534,S.Beuerlein,ARI,-69,-15.4%,,277,"1,218",5,8,51.2%,1994
535,H.Shuler,WAS,-134,-18.8%,,277,"1,228",10,11,45.6%,1994
536,J.Trudeau,NYJ,-167,-37.9%,,100,275,1,4,55.6%,1994
537,B.Richardson,HOIL,-239,-30.2%,,204,677,6,6,52.5%,1994
538,D.McGwire,SEA,-287,-50.9%,,120,186,1,2,49.5%,1994
539,B.J.Tolliver,HOIL,-312,-29.6%,,268,935,6,6,50.2%,1994
540,C.Carlson,HOIL,-340,-48.2%,,149,271,1,4,45.0%,1994
541,D.Klingler,CIN,-424,-37.1%,,253,741,6,8,57.2%,1994
542,J.Garrett,DAL,123,52.7%,,33,322,2,1,53.3%,1994
543,R.Peete,DAL,97,16.5%,,62,415,4,1,58.9%,1994
544,B.Brister,PHI,89,7.0%,,81,517,2,1,67.1%,1994
545,G.Gilbert,SD,89,9.3%,,71,470,3,1,61.2%,1994
546,E.Grbac,SF,66,7.0%,,55,384,2,1,70.0%,1994
547,S.Gelbaugh,SEA,54,74.9%,,11,123,1,0,63.6%,1994
548,B.Kosar,MIA,16,7.9%,,12,90,1,1,58.3%,1994
549,K.Graham,NYG,-15,-15.6%,,53,259,3,2,48.0%,1994
550,B.Johnson,MIN,-25,-21.6%,,38,161,0,0,59.5%,1994
551,F.Reich,BUF,-31,-16.4%,,98,438,1,4,61.5%,1994
552,T.Maddox,LARM,-36,-42.9%,,19,42,0,2,52.6%,1994
553,S.Salisbury,MIN,-36,-28.4%,,35,119,0,1,47.1%,1994
554,V.Evans,LARD,-44,-27.8%,,42,153,2,0,54.5%,1994
555,W.Wilson,NO,-47,-35.5%,,32,93,0,0,71.4%,1994
556,M.Brunell,GB,-56,-42.2%,,30,69,0,0,44.4%,1994
557,J.McMahon,ARI,-109,-48.7%,,47,87,1,3,53.5%,1994
558,B.Nagle,IND,-164,-124.9%,,22,-107,0,1,40.0%,1994
559,T.Dilfer,TB,-220,-53.9%,,88,119,1,6,46.9%,1994
560,E.Kramer,CHI,"1,585",32.7%,,538,"5,069",29,10,60.3%,1995
561,S.Mitchell,DET,"1,520",26.0%,,614,"5,369",32,12,59.5%,1995
562,B.Favre,GB,"1,507",27.5%,,598,"5,189",38,14,63.5%,1995
563,T.Aikman,DAL,"1,358",35.3%,,450,"4,206",16,7,65.1%,1995
564,J.Everett,NO,"1,168",19.0%,,594,"4,711",26,13,61.1%,1995
565,J.George,ATL,"1,127",17.5%,,601,"4,701",24,11,60.4%,1995
566,J.Elway,DEN,"1,054",18.2%,,561,"4,330",26,14,59.0%,1995
567,S.Young,SF,"1,054",22.4%,,467,"3,966",20,9,67.7%,1995
568,W.Moon,MIN,966,12.2%,,648,"4,653",33,13,62.4%,1995
569,V.Testaverde,CLE1,860,21.6%,,410,"3,288",17,9,61.8%,1995
570,D.Marino,MIA,793,13.8%,,503,"3,646",24,15,64.9%,1995
571,N.O'Donnell,PIT,679,13.2%,,428,"3,176",17,6,59.6%,1995
572,J.Harbaugh,IND,679,20.0%,,349,"2,682",17,5,64.3%,1995
573,E.Grbac,SF,600,38.3%,,189,"1,792",8,5,70.2%,1995
574,J.Blake,CIN,577,3.6%,,589,"3,940",28,16,57.9%,1995
575,S.Humphries,SD,531,6.1%,,502,"3,214",17,14,59.2%,1995
576,C.Chandler,HOIL,273,0.3%,,376,"2,283",17,10,63.7%,1995
577,J.Friesz,SEA,209,14.8%,,124,931,6,3,53.8%,1995
578,M.Rypien,STL,206,2.8%,,228,"1,461",9,8,59.4%,1995
579,G.Frerotte,WAS,200,-3.5%,,418,"2,382",13,13,50.8%,1995
580,M.Brunell,JAC,191,-3.0%,,386,"2,152",15,7,58.1%,1995
581,J.Hostetler,OAK,173,-2.6%,,308,"1,875",12,9,60.6%,1995
582,S.Bono,KC,165,-6.5%,,541,"3,068",21,10,56.6%,1995
583,J.Kelly,BUF,31,-10.1%,,483,"2,469",22,14,55.7%,1995
584,D.Bledsoe,NE,7,-11.0%,,657,"3,370",13,15,51.2%,1995
585,B.Kosar,MIA,-4,-11.7%,,116,599,3,5,69.2%,1995
586,C.Miller,STL,-17,-11.8%,,436,"2,155",18,14,57.7%,1995
587,V.Evans,OAK,-32,-13.9%,,184,877,6,8,57.8%,1995
588,M.Tomczak,PIT,-71,-20.3%,,117,530,1,8,58.6%,1995
589,C.Weldon,TB,-78,-23.9%,,100,388,1,1,47.2%,1995
590,H.Shuler,WAS,-146,-28.7%,,138,471,3,7,52.8%,1995
591,D.Brown,NYG,-157,-16.1%,,497,"2,341",11,10,56.4%,1995
592,W.Furrer,HOIL,-184,-40.2%,,103,260,2,6,49.0%,1995
593,R.Cunningham,PHI,-242,-40.3%,,133,333,3,5,58.5%,1995
594,S.Beuerlein,JAC,-244,-36.3%,,159,449,4,7,50.0%,1995
595,R.Mirer,SEA,-266,-21.1%,,436,"1,806",13,19,53.9%,1995
596,R.Peete,PHI,-273,-21.9%,,403,"1,676",8,12,58.0%,1995
597,E.Zeier,CLE1,-289,-36.8%,,176,512,4,8,51.3%,1995
598,D.Krieg,ARI,-364,-21.2%,,578,"2,406",16,21,58.6%,1995
599,K.Collins,CAR,-366,-23.8%,,461,"1,817",14,19,49.8%,1995
600,B.Esiason,NYJ,-444,-28.0%,,420,"1,524",16,15,57.5%,1995
601,T.Dilfer,TB,-559,-31.0%,,461,"1,503",4,16,54.2%,1995
602,B.Brister,NYJ,-611,-65.8%,,186,70,4,7,55.4%,1995
603,B.Hebert,ATL,213,52.8%,,44,558,2,0,63.6%,1995
604,S.McNair,HOIL,109,10.6%,,85,549,3,1,52.6%,1995
605,M.Buck,ARI,104,33.1%,,34,332,1,1,60.6%,1995
606,A.Van Pelt,BUF,104,73.4%,,18,241,2,0,55.6%,1995
607,W.Wilson,DAL,91,12.6%,,61,432,1,2,66.7%,1995
608,D.Majkowski,DET,85,53.8%,,21,220,1,0,75.0%,1995
609,B.Musgrave,DEN,40,39.5%,,12,118,0,0,72.7%,1995
610,H.Millen,DEN,33,0.5%,,44,275,1,0,65.0%,1995
611,B.Hobert,OAK,22,-6.8%,,83,451,6,4,55.0%,1995
612,B.Johnson,MIN,16,-5.5%,,38,245,0,1,69.4%,1995
613,R.Gannon,KC,10,4.8%,,11,62,0,0,63.6%,1995
614,D.Klingler,CIN,4,-7.3%,,14,83,1,1,53.8%,1995
615,T.Detmer,GB,3,-7.4%,,14,80,1,1,57.1%,1995
616,D.Barr,STL,-19,-38.7%,,10,30,0,0,55.6%,1995
617,C.Conklin,SF,-26,-47.0%,,14,15,0,0,33.3%,1995
618,J.Miller,PIT,-44,-23.3%,,58,230,2,5,58.9%,1995
619,P.Justin,IND,-58,-35.6%,,40,111,0,2,55.6%,1995
620,G.Foley,NYJ,-80,-51.1%,,33,52,0,0,55.2%,1995
621,S.Zolak,NE,-111,-42.9%,,55,131,1,0,56.0%,1995
622,J.Trudeau,CAR,-126,-114.6%,,19,-73,0,3,64.7%,1995
623,C.Erickson,IND,-132,-34.7%,,95,271,3,4,61.7%,1995
624,G.Gilbert,SD,-134,-44.7%,,70,139,0,3,59.0%,1995
625,T.Collins,BUF,-141,-79.3%,,35,-9,0,1,50.0%,1995
626,T.Maddox,NYG,-215,-169.7%,,24,-183,0,3,27.3%,1995
627,F.Reich,CAR,-260,-55.1%,,96,123,2,2,44.0%,1995
628,V.Testaverde,BAL,"1,153",18.8%,,585,"4,673",33,19,59.3%,1996
629,B.Favre,GB,"1,090",18.0%,,584,"4,495",39,13,60.0%,1996
630,D.Marino,MIA,919,25.7%,,391,"3,256",18,9,59.6%,1996
631,G.Frerotte,WAS,867,17.1%,,497,"3,652",12,11,57.6%,1996
632,J.Elway,DEN,834,15.0%,,494,"3,704",26,14,61.7%,1996
633,T.Aikman,DAL,821,15.4%,,479,"3,603",12,14,64.2%,1996
634,S.Young,SF,817,24.8%,,352,"2,945",14,6,68.2%,1996
635,D.Bledsoe,NE,799,7.5%,,654,"4,537",27,15,60.1%,1996
636,M.Brunell,JAC,767,8.2%,,611,"4,250",19,19,63.7%,1996
637,K.Collins,CAR,699,17.5%,,381,"2,913",14,7,56.2%,1996
638,T.Detmer,PHI,577,10.2%,,429,"2,967",15,13,59.8%,1996
639,D.Krieg,CHI,572,10.8%,,394,"2,881",14,12,60.2%,1996
640,B.Johnson,MIN,516,12.7%,,328,"2,448",17,9,62.9%,1996
641,J.Blake,CIN,478,1.3%,,594,"3,742",24,13,56.6%,1996
642,S.Humphries,SD,451,5.7%,,435,"2,766",18,13,56.3%,1996
643,B.Esiason,ARI,430,7.7%,,356,"2,412",11,14,56.4%,1996
644,J.Hostetler,OAK,423,3.6%,,435,"2,884",23,13,60.5%,1996
645,P.Justin,IND,370,34.7%,,134,"1,154",2,0,58.3%,1996
646,S.Bono,KC,348,0.9%,,456,"2,812",12,12,54.1%,1996
647,J.Friesz,SEA,321,11.7%,,226,"1,568",8,4,56.9%,1996
648,S.Mitchell,DET,317,-0.5%,,473,"2,844",17,17,58.2%,1996
649,B.Hebert,ATL,316,-2.0%,,513,"3,224",22,24,60.6%,1996
650,K.Graham,ARI,241,2.0%,,293,"1,809",12,7,53.3%,1996
651,J.Harbaugh,IND,203,-4.1%,,443,"2,578",13,10,57.7%,1996
652,S.McNair,HOIL,188,8.2%,,153,"1,038",6,3,61.5%,1996
653,C.Chandler,HOIL,187,-2.6%,,347,"2,009",16,11,57.7%,1996
654,C.Erickson,MIA,159,12.8%,,113,744,4,2,55.6%,1996
655,M.Tomczak,PIT,128,-6.4%,,416,"2,352",15,17,55.5%,1996
656,J.Everett,NO,126,-7.0%,,487,"2,625",12,15,57.7%,1996
657,F.Reich,NYJ,87,-7.2%,,351,"1,906",15,16,53.0%,1996
658,R.Peete,PHI,78,-2.6%,,144,843,3,5,59.7%,1996
659,E.Grbac,SF,51,-7.5%,,202,"1,174",8,10,62.2%,1996
660,J.George,ATL,18,-8.7%,,112,611,3,3,56.6%,1996
661,T.Dilfer,TB,-5,-11.3%,,509,"2,580",12,18,55.9%,1996
662,W.Moon,MIN,-23,-12.5%,,266,"1,319",7,9,54.5%,1996
663,S.Beuerlein,CAR,-54,-16.9%,,142,681,8,2,56.1%,1996
664,D.Majkowski,DET,-81,-22.6%,,113,459,3,3,53.9%,1996
665,E.Kramer,CHI,-87,-19.7%,,158,702,3,4,48.7%,1996
666,J.Kelly,BUF,-88,-14.6%,,415,"1,953",14,19,59.0%,1996
667,T.Collins,BUF,-162,-36.0%,,108,303,4,5,58.5%,1996
668,N.O'Donnell,NYJ,-206,-27.7%,,206,729,4,6,58.8%,1996
669,S.Salisbury,SD,-209,-31.1%,,173,563,5,7,51.6%,1996
670,B.Hobert,OAK,-215,-40.1%,,112,306,4,5,55.3%,1996
671,R.Mirer,SEA,-244,-24.5%,,286,"1,141",5,11,51.7%,1996
672,G.Foley,NYJ,-295,-52.9%,,120,168,3,7,49.1%,1996
673,D.Brown,NYG,-297,-21.7%,,448,"1,870",12,18,54.2%,1996
674,T.Banks,STL,-519,-31.2%,,424,"1,376",15,15,52.6%,1996
675,R.Gannon,KC,143,12.2%,,95,686,6,1,60.7%,1996
676,S.Matthews,CHI,116,86.4%,,18,253,1,0,76.5%,1996
677,M.Rypien,PHI,58,47.5%,,13,157,1,0,76.9%,1996
678,J.Brohm,SF,29,2.9%,,36,206,1,0,61.8%,1996
679,E.Wilhelm,CIN,20,8.7%,,15,107,1,1,58.3%,1996
680,J.Martin,STL,15,-5.0%,,38,218,3,2,67.6%,1996
681,B.Kosar,MIA,-8,-14.8%,,38,165,1,0,75.0%,1996
682,W.Wilson,DAL,-23,-28.9%,,19,74,0,1,44.4%,1996
683,E.Zeier,BAL,-33,-32.1%,,24,81,1,1,50.0%,1996
684,J.Miller,PIT,-35,-31.6%,,28,90,0,0,52.0%,1996
685,D.Klingler,OAK,-45,-39.9%,,26,65,0,0,43.5%,1996
686,J.Lewis,DEN,-57,-61.2%,,18,15,0,1,52.9%,1996
687,C.Weldon,TB,-71,-106.4%,,12,-36,0,1,55.6%,1996
688,B.Nagle,ATL,-82,-81.3%,,17,-17,1,1,46.2%,1996
689,G.Torretta,SEA,-88,-95.4%,,19,-36,1,1,31.3%,1996
690,B.Musgrave,DEN,-95,-37.3%,,57,163,0,2,59.6%,1996
691,D.Nussmeier,NO,-127,-50.1%,,52,90,1,1,57.1%,1996
692,S.Walsh,STL,-144,-39.5%,,81,212,0,5,44.0%,1996
693,D.Kanell,NYG,-180,-54.0%,,68,93,1,1,38.3%,1996
694,K.Stewart,PIT,-208,-104.1%,,35,-103,0,2,40.0%,1996
695,D.Marino,MIA,"1,212",22.8%,,569,"4,525",16,11,58.5%,1997
696,M.Brunell,JAC,"1,140",26.8%,,465,"3,967",18,7,61.3%,1997
697,B.Favre,GB,"1,117",19.4%,,539,"4,464",35,16,59.4%,1997
698,S.Young,SF,"1,065",32.1%,,393,"3,430",19,6,68.5%,1997
699,B.Johnson,MIN,971,20.2%,,475,"3,830",20,12,61.4%,1997
700,J.Elway,DEN,886,14.4%,,537,"3,998",27,11,56.7%,1997
701,B.Esiason,CIN,876,58.0%,,193,"2,211",13,2,63.4%,1997
702,W.Moon,SEA,852,13.1%,,560,"3,993",25,16,59.5%,1997
703,D.Bledsoe,NE,809,11.5%,,553,"3,978",28,14,60.4%,1997
704,C.Chandler,ATL,808,23.7%,,387,"2,969",20,7,59.2%,1997
705,J.George,OAK,663,7.8%,,578,"3,712",29,9,56.3%,1997
706,T.Aikman,DAL,556,4.4%,,547,"3,632",19,12,57.0%,1997
707,G.Frerotte,WAS,544,9.3%,,426,"2,888",17,12,51.0%,1997
708,E.Kramer,CHI,474,3.6%,,503,"3,237",14,14,57.8%,1997
709,K.Stewart,PIT,451,4.9%,,458,"2,869",21,17,54.0%,1997
710,T.Dilfer,TB,449,5.2%,,420,"2,803",21,11,56.8%,1997
711,P.Justin,IND,373,30.6%,,149,"1,221",5,3,59.7%,1997
712,S.Mitchell,DET,353,-0.7%,,548,"3,213",19,13,58.6%,1997
713,E.Grbac,KC,341,5.1%,,329,"2,153",11,5,57.9%,1997
714,J.Harbaugh,IND,311,3.7%,,348,"2,098",10,4,62.2%,1997
715,V.Testaverde,BAL,306,-1.6%,,493,"3,008",18,14,57.8%,1997
716,T.Banks,STL,292,-2.1%,,535,"2,983",14,13,52.2%,1997
717,S.McNair,TEN,267,-1.5%,,446,"2,595",14,12,52.6%,1997
718,S.Beuerlein,CAR,252,13.1%,,169,"1,188",6,2,58.6%,1997
719,G.Foley,NYJ,243,29.3%,,98,815,3,1,59.6%,1997
720,R.Gannon,KC,172,2.8%,,187,"1,233",7,3,56.6%,1997
721,D.Brown,NYG,141,0.6%,,193,"1,160",5,3,52.5%,1997
722,J.Blake,CIN,130,-5.3%,,355,"1,973",8,7,58.4%,1997
723,T.Detmer,PHI,118,-3.8%,,262,"1,465",7,6,55.6%,1997
724,E.Zeier,BAL,93,0.5%,,134,764,7,1,57.8%,1997
725,B.Hoying,PHI,80,-6.0%,,252,"1,361",11,6,57.1%,1997
726,N.O'Donnell,NYJ,65,-9.1%,,504,"2,602",17,7,56.8%,1997
727,B.J.Tolliver,2TM,43,-5.5%,,132,683,5,1,55.7%,1997
728,K.Graham,ARI,42,-8.6%,,265,"1,382",4,4,52.2%,1997
729,D.Kanell,NYG,-7,-11.5%,,315,"1,552",11,8,53.6%,1997
730,R.Peete,PHI,-12,-12.5%,,133,672,4,4,59.1%,1997
731,J.Hostetler,WAS,-27,-13.9%,,154,762,5,9,54.9%,1997
732,B.Hobert,2TM,-41,-15.1%,,166,789,6,10,49.4%,1997
733,J.Plummer,ARI,-137,-17.7%,,346,"1,505",15,14,53.8%,1997
734,D.Wuerffel,NO,-239,-47.8%,,109,200,4,7,46.2%,1997
735,S.Humphries,SD,-255,-27.4%,,245,919,5,6,54.0%,1997
736,A.Van Pelt,BUF,-275,-44.2%,,128,296,2,10,49.2%,1997
737,R.Mirer,CHI,-387,-60.4%,,121,105,0,5,51.5%,1997
738,K.Collins,CAR,-393,-26.0%,,408,"1,597",11,20,53.2%,1997
739,T.Collins,BUF,-403,-25.7%,,430,"1,678",12,13,55.1%,1997
740,C.Whelihan,SD,-433,-37.7%,,261,720,6,10,49.8%,1997
741,H.Shuler,NO,-531,-51.6%,,225,335,2,14,52.7%,1997
742,S.Matthews,JAC,119,35.2%,,41,370,0,0,65.0%,1997
743,R.Johnson,JAC,113,43.4%,,34,321,2,1,78.6%,1997
744,J.Kitna,SEA,78,14.3%,,48,351,1,2,70.5%,1997
745,M.Tomczak,PIT,66,33.0%,,24,209,1,2,66.7%,1997
746,B.Brister,DEN,9,6.4%,,9,56,0,0,66.7%,1997
747,M.Rypien,STL,3,-10.0%,,40,204,0,2,48.7%,1997
748,J.Garrett,DAL,-13,-24.9%,,16,56,0,0,71.4%,1997
749,W.Wilson,DAL,-15,-20.5%,,25,112,0,0,57.1%,1997
750,R.Cunningham,MIN,-23,-15.0%,,95,433,6,4,50.6%,1997
751,C.Erickson,MIA,-49,-37.8%,,32,81,0,1,46.4%,1997
752,F.Reich,DET,-49,-37.2%,,30,84,0,2,36.7%,1997
753,S.Bono,GB,-54,-106.9%,,11,-28,0,0,50.0%,1997
754,S.Stenstrom,CHI,-73,-74.2%,,16,-6,0,1,57.1%,1997
755,S.Walsh,TB,-80,-79.1%,,18,-14,0,1,35.3%,1997
756,T.Philcox,SD,-89,-54.6%,,35,44,0,1,59.3%,1997
757,S.Case,ARI,-109,-41.5%,,65,142,0,1,52.7%,1997
758,T.Graziani,ATL,-111,-90.5%,,24,-38,0,2,30.4%,1997
759,J.Friesz,SEA,-117,-62.7%,,38,23,0,2,42.9%,1997
760,J.Brohm,SF,-121,-74.0%,,29,-10,0,1,66.7%,1997
761,J.Everett,SD,-122,-39.8%,,80,185,1,4,48.0%,1997
762,D.Nussmeier,NO,-219,-104.7%,,40,-108,0,3,56.3%,1997
763,J.Druckenmiller,SF,-246,-84.1%,,57,-64,1,4,40.4%,1997
764,K.Holcomb,IND,-368,-77.0%,,87,-51,1,7,61.6%,1997
765,R.Cunningham,MIN,"1,598",45.1%,,446,"4,464",34,10,60.9%,1998
766,V.Testaverde,NYJ,"1,531",42.2%,,442,"4,393",29,6,61.7%,1998
767,S.Young,SF,"1,433",28.4%,,565,"4,882",36,12,62.8%,1998
768,J.Elway,DEN,"1,185",39.2%,,376,"3,512",22,10,59.2%,1998
769,D.Flutie,BUF,928,28.3%,,365,"3,148",20,11,57.9%,1998
770,C.Chandler,ATL,912,28.7%,,372,"3,085",25,12,58.1%,1998
771,D.Bledsoe,NE,881,16.0%,,520,"3,823",20,14,54.9%,1998
772,S.McNair,TEN,819,14.1%,,524,"3,725",15,8,59.6%,1998
773,B.Favre,GB,812,10.4%,,588,"4,144",31,23,63.2%,1998
774,T.Aikman,DAL,781,27.2%,,324,"2,701",12,5,60.3%,1998
775,D.Marino,MIA,746,10.4%,,561,"3,819",23,14,57.9%,1998
776,P.Manning,IND,696,7.7%,,592,"3,932",26,28,57.3%,1998
777,M.Brunell,JAC,635,15.4%,,382,"2,781",20,8,58.9%,1998
778,B.J.Tolliver,NO,349,15.6%,,209,"1,530",8,4,56.4%,1998
779,S.Beuerlein,CAR,344,2.8%,,388,"2,464",17,11,63.5%,1998
780,B.Brister,DEN,337,29.6%,,139,"1,125",10,3,60.5%,1998
781,C.Batch,DET,325,4.9%,,339,"2,083",11,5,57.7%,1998
782,R.Gannon,KC,321,2.3%,,381,"2,360",10,5,58.5%,1998
783,B.Johnson,MIN,266,26.9%,,104,925,7,5,65.0%,1998
784,E.Kramer,CHI,265,4.2%,,259,"1,752",9,7,60.9%,1998
785,J.Garrett,DAL,210,8.6%,,170,"1,140",5,3,58.6%,1998
786,N.O'Donnell,CIN,200,-3.0%,,374,"2,231",15,4,62.2%,1998
787,T.Green,WAS,185,-5.9%,,557,"3,098",23,11,54.9%,1998
788,R.Johnson,BUF,185,10.9%,,139,927,8,3,62.6%,1998
789,F.Reich,DET,128,6.3%,,115,766,5,4,57.3%,1998
790,J.Plummer,ARI,108,-8.4%,,595,"3,282",17,19,59.7%,1998
791,W.Moon,SEA,99,-5.4%,,280,"1,510",11,7,56.4%,1998
792,E.Zeier,BAL,91,-3.4%,,194,"1,069",4,2,60.8%,1998
793,K.Graham,NYG,88,-4.1%,,216,"1,100",7,5,52.0%,1998
794,K.Detmer,PHI,24,-9.0%,,181,945,5,4,54.2%,1998
795,J.Kitna,SEA,14,-10.0%,,187,975,7,8,57.3%,1998
796,J.Blake,CIN,7,-10.1%,,108,538,3,3,54.8%,1998
797,S.Stenstrom,CHI,-10,-11.9%,,216,"1,104",4,6,57.4%,1998
798,G.Foley,NYJ,-10,-12.6%,,114,561,4,6,53.7%,1998
799,S.Bono,STL,-15,-12.8%,,144,698,5,4,50.7%,1998
800,J.Harbaugh,BAL,-55,-14.0%,,319,"1,509",12,10,56.2%,1998
801,T.Banks,STL,-57,-13.1%,,454,"2,210",7,14,59.7%,1998
802,T.Dilfer,TB,-104,-14.7%,,457,"2,189",21,15,53.1%,1998
803,R.Peete,PHI,-153,-28.5%,,145,509,2,4,55.0%,1998
804,E.Grbac,KC,-205,-27.0%,,198,758,5,12,52.7%,1998
805,J.George,OAK,-212,-29.3%,,193,655,4,5,55.0%,1998
806,K.Collins,2TM,-254,-22.0%,,381,"1,538",12,14,49.3%,1998
807,D.Wuerffel,NO,-260,-42.8%,,142,312,5,5,52.1%,1998
808,K.Stewart,PIT,-293,-20.4%,,491,"2,136",11,18,55.3%,1998
809,D.Kanell,NYG,-377,-30.1%,,321,"1,090",11,10,53.9%,1998
810,D.Hollas,OAK,-420,-34.5%,,296,867,10,15,51.9%,1998
811,C.Whelihan,SD,-487,-34.5%,,333,"1,018",8,18,47.3%,1998
812,R.Leaf,SD,-660,-51.8%,,269,411,2,15,45.9%,1998
813,B.Hoying,PHI,-964,-68.3%,,265,46,0,9,51.1%,1998
814,J.Martin,JAC,131,36.6%,,47,399,2,0,60.0%,1998
815,B.Hobert,NO,71,34.9%,,25,221,1,0,47.8%,1998
816,J.Friesz,SEA,59,10.0%,,50,307,2,2,59.2%,1998
817,S.DeBerg,ATL,42,-0.1%,,66,363,3,1,50.8%,1998
818,D.Pederson,GB,31,8.4%,,26,169,2,0,58.3%,1998
819,D.Huard,MIA,30,43.7%,,10,85,0,0,66.7%,1998
820,T.Detmer,SF,19,-3.7%,,43,229,4,3,63.2%,1998
821,D.Krieg,TEN,18,3.5%,,23,123,0,0,57.1%,1998
822,W.Wilson,OAK,17,-8.4%,,97,519,7,4,59.1%,1998
823,E.Kresser,CIN,8,-4.8%,,21,117,1,2,47.6%,1998
824,T.Graziani,ATL,2,-10.1%,,35,176,0,2,48.5%,1998
825,K.Warner,STL,-8,-21.9%,,11,51,0,0,36.4%,1998
826,S.Mitchell,DET,-22,-15.2%,,80,399,1,3,50.7%,1998
827,S.Zolak,NE,-40,-19.4%,,79,337,3,2,43.2%,1998
828,M.Moreno,CHI,-46,-26.6%,,46,176,1,0,44.2%,1998
829,M.Tomczak,PIT,-51,-34.3%,,31,108,2,2,72.4%,1998
830,P.Justin,CIN,-106,-37.0%,,70,185,1,3,54.0%,1998
831,J.Quinn,JAC,-122,-37.1%,,71,212,2,3,54.8%,1998
832,S.Walsh,TB,-124,-139.3%,,20,-86,0,3,50.0%,1998
833,G.Frerotte,WAS,-179,-59.6%,,66,54,1,3,46.3%,1998
834,K.Warner,STL,"1,586",36.9%,,523,"4,819",41,13,66.1%,1999
835,P.Manning,IND,"1,581",34.0%,,548,"4,974",26,14,62.3%,1999
836,R.Gannon,OAK,"1,199",23.0%,,564,"4,459",24,14,59.3%,1999
837,B.Johnson,WAS,"1,074",18.7%,,550,"4,363",24,12,61.0%,1999
838,S.Beuerlein,CAR,"1,044",14.8%,,622,"4,664",36,16,60.0%,1999
839,E.Grbac,KC,935,17.6%,,522,"3,891",22,13,59.8%,1999
840,J.George,MIN,841,26.0%,,356,"2,972",23,11,59.1%,1999
841,M.Brunell,JAC,731,12.9%,,472,"3,444",14,9,59.1%,1999
842,B.Favre,GB,728,7.2%,,628,"4,188",22,22,58.0%,1999
843,D.Flutie,BUF,667,9.2%,,505,"3,547",19,14,55.3%,1999
844,J.Kitna,SEA,605,6.6%,,530,"3,556",23,16,55.1%,1999
845,S.McNair,TEN,564,14.3%,,343,"2,550",12,8,57.2%,1999
846,G.Frerotte,DET,533,17.0%,,308,"2,236",9,7,62.5%,1999
847,T.Aikman,DAL,463,5.5%,,463,"2,878",17,12,60.0%,1999
848,R.Cunningham,MIN,388,16.8%,,214,"1,645",8,7,62.9%,1999
849,J.Garcia,SF,333,2.0%,,387,"2,490",11,11,60.8%,1999
850,C.Batch,DET,326,6.5%,,305,"1,931",13,6,56.1%,1999
851,B.Griese,DEN,319,-0.6%,,483,"2,873",14,14,58.8%,1999
852,D.Bledsoe,NE,280,-3.8%,,593,"3,441",19,21,56.7%,1999
853,S.Matthews,CHI,280,3.6%,,290,"1,912",10,6,60.9%,1999
854,M.Tomczak,PIT,269,4.7%,,273,"1,733",12,7,54.1%,1999
855,D.Marino,MIA,259,-0.4%,,379,"2,286",12,16,55.6%,1999
856,N.O'Donnell,TEN,247,8.3%,,206,"1,362",10,5,59.5%,1999
857,R.Lucas,NYJ,240,2.3%,,288,"1,765",14,6,59.4%,1999
858,C.Chandler,ATL,234,0.0%,,340,"2,011",16,11,57.6%,1999
859,J.Miller,CHI,231,8.9%,,184,"1,246",7,5,63.4%,1999
860,K.Collins,NYG,220,-1.4%,,353,"2,113",8,11,57.9%,1999
861,J.Blake,CIN,170,-4.9%,,424,"2,431",16,12,55.6%,1999
862,J.Fiedler,JAC,150,13.5%,,100,695,2,2,65.6%,1999
863,D.Huard,MIA,132,-1.8%,,243,"1,323",8,3,58.4%,1999
864,S.King,TB,122,1.8%,,157,927,7,4,61.0%,1999
865,K.Graham,NYG,122,-4.4%,,298,"1,623",9,9,58.8%,1999
866,C.McNown,CHI,94,-5.4%,,254,"1,451",8,9,54.3%,1999
867,T.Dilfer,TB,37,-9.0%,,271,"1,411",11,10,60.2%,1999
868,T.Graziani,ATL,-16,-13.2%,,132,599,2,4,53.0%,1999
