,Player,College,Height,Weight,Hand_size,Arm_length,40_time,Bench,Vert,Broad,Shuttle,Year
0,1987,Robert Awalt,San Diego State,9.50,,28.0,108,4.45,4.45,4.45,4.45,1987
1,1987,Gerald Bayless,Bowling Green (OH),9.25,,26.0,108,4.34,4.34,4.34,4.34,1987
2,1987,Michael Clemons,William & Mary (VA),8.25,,29.0,108,4.42,4.42,4.42,4.42,1987
3,1987,Scott Eccles,Eastern New Mexico,9.25,,31.0,116,4.20,4.20,4.20,4.20,1987
4,1987,Ron Hall,Hawaii,10.00,,28.5,111,4.14,4.14,4.14,4.14,1987
5,1987,William Harris,Bishop (TX),10.00,,28.0,107,4.43,4.43,4.43,4.43,1987
6,1987,Rod Jones,Washington,10.00,,24.0,108,4.47,4.47,4.47,4.47,1987
7,1987,Chris Kelley,Akron,10.00,,30.0,102,4.50,4.50,4.50,4.50,1987
8,1987,Keith Mckeller,Jacksonville State (FL),10.00,,31.0,111,4.63,4.63,4.63,4.63,1987
9,1987,Jeff Modesitt,Delaware,9.50,,30.5,112,4.48,4.48,4.48,4.48,1987
10,1987,Albert Reese,Southern Methodist (TX),10.75,,28.5,107,4.42,4.42,4.42,4.42,1987
11,1987,Jerry Reese,Illinois,9.25,,27.5,107,4.37,4.37,4.37,4.37,1987
12,1987,Jim Riggs,Clemson,10.00,,25.5,100,4.34,4.34,4.34,4.34,1987
13,1987,Brian Siverling,Penn State,10.00,,29.0,99,4.61,4.61,4.61,4.61,1987
14,1987,Derek Tennell,UCLA,9.00,,32.0,117,4.61,4.61,4.61,4.61,1987
15,1987,Arthur Wells,Grambling State (LA),9.50,,28.0,101,4.82,4.82,4.82,4.82,1987
16,1987,Theo Young,Arkansas,9.00,,30.0,107,4.20,4.20,4.20,4.20,1987
17,1988,Brad Beckman,Nebraska-Omaha,9.75,,33.0,115,4.25,4.25,4.25,4.25,1988
18,1988,Pat Carter,Florida State,10.00,,29.0,98,4.77,4.77,4.77,4.77,1988
19,1988,Jason Cooper,Duke,9.25,,,,9.99,9.99,9.99,9.99,1988
20,1988,Kent Dean,Kansas State,8.75,,,,9.99,9.99,9.99,9.99,1988
21,1988,Ferrell Edmunds,Maryland,10.50,,,,9.99,9.99,9.99,9.99,1988
22,1988,Charles Henry,Miami (FL),10.50,,,,9.99,9.99,9.99,9.99,1988
23,1988,Alex Higdon,Ohio State,10.00,,30.0,109,4.32,4.32,4.32,4.32,1988
24,1988,Mike Hinnant,Temple,9.25,,29.0,100,9.99,9.99,9.99,9.99,1988
25,1988,Keith Jackson,Oklahoma,9.50,,29.0,,4.59,4.59,4.59,4.59,1988
26,1988,Steve Johnson,Virginia Tech,9.75,,30.5,116,4.38,4.38,4.38,4.38,1988
27,1988,Brian Kinchen,Louisiana State,9.50,,33.5,106,4.31,4.31,4.31,4.31,1988
28,1988,Keith Neubert,Nebraska,10.25,,31.5,108,4.52,4.52,4.52,4.52,1988
29,1988,Walter Odom,Florida,8.75,,32.5,117,4.60,4.60,4.60,4.60,1988
30,1988,Paul Pomfret,Penn State,10.00,,31.5,110,4.45,4.45,4.45,4.45,1988
31,1988,Alfredo Roberts,Miami (FL),8.75,,29.5,,4.46,4.46,4.46,4.46,1988
32,1988,Greg Scales,Wake Forest,9.25,,29.0,112,4.54,4.54,4.54,4.54,1988
33,1988,Jim Thornton,Cal-State Fullerton,9.50,,36.0,123,4.31,4.31,4.31,4.31,1988
34,1988,Robert Tyler,South Carolina State,10.00,,27.0,104,4.85,4.85,4.85,4.85,1988
35,1988,Chris Verhulst,Cal State Chico,9.25,,,,9.99,9.99,9.99,9.99,1988
36,1989,James Coley,Clemson,,,29.0,93,4.98,4.98,4.98,4.98,1989
37,1989,Marv Cook,Iowa,,,29.0,103,4.20,4.20,4.20,4.20,1989
38,1989,Howard Cross,Alabama,,,31.5,109,4.63,4.63,4.63,4.63,1989
39,1989,Pat Davis,Syracuse,,,35.0,109,4.57,4.57,4.57,4.57,1989
40,1989,John Duff,New Mexico,,,31.0,110,4.60,4.60,4.60,4.60,1989
41,1989,Darryl Ingram,California,,,30.0,114,4.49,4.49,4.49,4.49,1989
42,1989,Keith Jennings,Clemson,,,,,9.99,9.99,9.99,9.99,1989
43,1989,Tim Jorden,Indiana,,,31.5,110,4.45,4.45,4.45,4.45,1989
44,1989,Jeff Lindsley,Boise State,,,32.5,110,4.08,4.08,4.08,4.08,1989
45,1989,Travis Mcneal,Tennessee-Chattanooga,,,37.0,119,4.57,4.57,4.57,4.57,1989
46,1989,Todd Millikan,Nebraska,,,30.5,100,4.44,4.44,4.44,4.44,1989
47,1989,Paul Reilly,Nebraska-Kearney,,,30.0,105,4.39,4.39,4.39,4.39,1989
48,1989,Troy Sadowski,Georgia,,,32.5,117,4.24,4.24,4.24,4.24,1989
49,1989,Wesley Walls,Mississippi,,,,110,9.99,9.99,9.99,9.99,1989
50,1989,Greg Werner,DePauw (IN),,,33.0,103,4.48,4.48,4.48,4.48,1989
51,1990,Jesse Anderson,Mississippi State,9.50,,35.0,118,4.20,4.20,4.20,4.20,1990
52,1990,Charles Arbuckle,UCLA,10.00,,31.0,115,4.32,4.32,4.32,4.32,1990
53,1990,Mike Bitterman,Maine,9.50,,,,9.99,9.99,9.99,9.99,1990
54,1990,Mike Busch,Iowa State,10.00,,28.5,103,4.40,4.40,4.40,4.40,1990
55,1990,Dave Colonna,Duke,9.88,,31.5,106,4.30,4.30,4.30,4.30,1990
56,1990,Demetrius Davis,Nevada Las Vegas,9.38,,32.5,110,4.32,4.32,4.32,4.32,1990
57,1990,Chad Fortune,Louisville,9.25,,33.5,116,4.48,4.48,4.48,4.48,1990
58,1990,Scott Galbraith,Southern California,9.00,,30.0,108,4.60,4.60,4.60,4.60,1990
59,1990,Eric Green,Liberty (VA),9.75,,,,9.99,9.99,9.99,9.99,1990
60,1990,Ronnie Haliburton,Louisiana State,9.25,,33.0,114,4.06,4.06,4.06,4.06,1990
61,1990,Jackie Harris,Louisiana-Monroe,10.00,,31.5,114,4.38,4.38,4.38,4.38,1990
62,1990,Mark Hopkins,Central Michigan,8.75,,27.5,102,4.27,4.27,4.27,4.27,1990
63,1990,Mike Jones,Texas A&M,9.00,,27.5,102,9.99,9.99,9.99,9.99,1990
64,1990,Eugene Riley,Ball State (IN),10.50,,27.5,102,4.57,4.57,4.57,4.57,1990
65,1990,Shannon Sharpe,Savannah State (GA),10.00,,34.0,122,4.55,4.55,4.55,4.55,1990
66,1990,Derrick Walker,Michigan,9.88,,32.0,109,4.24,4.24,4.24,4.24,1990
