,Player,College,Height,Weight,Hand_size,Arm_length,40_time,Bench,Vert,Broad,Shuttle,Year
0,1987,Steve Beuerlein,Notre Dame,10.00,,23.0,93,4.63,4.63,4.63,4.63,1987
1,1987,Cody Carlson,Baylor,9.25,,29.5,111,4.45,4.45,4.45,4.45,1987
2,1987,Rich Gannon,Delaware,9.50,,32.5,110,4.11,4.11,4.11,4.11,1987
3,1987,Shawn Halloran,Boston College,10.25,,23.5,94,4.53,4.53,4.53,4.53,1987
4,1987,Jim Harbaugh,Michigan,9.75,,,,9.99,9.99,9.99,9.99,1987
5,1987,Doug Hudson,Nicholls State (LA),7.25,,25.0,105,4.52,4.52,4.52,4.52,1987
6,1987,Don Majkowski,Virginia,9.00,,34.0,116,4.13,4.13,4.13,4.13,1987
7,1987,Chris Miller,Oregon,,,30.5,117,4.35,4.35,4.35,4.35,1987
8,1987,Bill Ransdell,Kentucky,,,24.0,99,4.22,4.22,4.22,4.22,1987
9,1987,Mike Shula,Alabama,,,26.5,99,4.49,4.49,4.49,4.49,1987
10,1987,Loren Snyder,Northern Colorado,,,26.5,104,4.63,4.63,4.63,4.63,1987
11,1987,Kelly Stouffer,Colorado State,,,28.0,108,4.51,4.51,4.51,4.51,1987
12,1987,Kevin Sweeney,Frenso State (CA),,,,,9.99,9.99,9.99,9.99,1987
13,1987,Vinny Testaverde,Miami (FL),10.00,,,,9.99,9.99,9.99,9.99,1987
14,1987,Jeff Van Raaphorst,Arizona State,,,24.0,106,4.41,4.41,4.41,4.41,1987
15,1988,Kerwin Bell,Florida,9.50,,28.5,102,4.63,4.63,4.63,4.63,1988
16,1988,Jeff Burger,Auburn,9.00,,32.5,108,4.39,4.39,4.39,4.39,1988
17,1988,Chris Chandler,Washington,9.25,,30.0,102,4.40,4.40,4.40,4.40,1988
18,1988,Dan Henning,Maryland,9.00,,26.5,99,4.64,4.64,4.64,4.64,1988
19,1988,Stan Humphries,Louisiana-Monroe,10.25,,28.0,102,4.56,4.56,4.56,4.56,1988
20,1988,Matthew Knizner,Penn State,9.75,,28.5,101,4.60,4.60,4.60,4.60,1988
21,1988,Mark Maye,North Carolina,8.50,,,,9.99,9.99,9.99,9.99,1988
22,1988,Dan Mccoin,Cincinnati,9.25,,25.5,97,4.62,4.62,4.62,4.62,1988
23,1988,Danny Mcmanus,Florida State,9.75,,25.0,101,4.49,4.49,4.49,4.49,1988
24,1988,Don Mcpherson,Syracuse,9.25,,32.0,114,4.20,4.20,4.20,4.20,1988
25,1988,Mike Perez,San Jose State,8.75,,,,9.99,9.99,9.99,9.99,1988
26,1988,Todd Santos,San Diego State,10.00,,27.5,100,4.50,4.50,4.50,4.50,1988
27,1988,Steve Slayden,Duke,10.25,,26.5,103,4.57,4.57,4.57,4.57,1988
28,1988,Rick Strom,Georgia Tech,9.25,,31.0,108,4.39,4.39,4.39,4.39,1988
29,1989,Jeff Carlson,Weber State (UT),,,32.0,106,4.41,4.41,4.41,4.41,1989
30,1989,Anthony Dilweg,Duke,,,28.0,102,4.37,4.37,4.37,4.37,1989
31,1989,Mike Elkins,Wake Forest,,,29.5,97,4.50,4.50,4.50,4.50,1989
32,1989,Jeff Francis,Tennessee,,,29.5,102,4.51,4.51,4.51,4.51,1989
33,1989,Jason Garrett,Princeton,,,29.5,109,4.06,4.06,4.06,4.06,1989
34,1989,Mickey Guidry,Louisiana State,,,,,9.99,9.99,9.99,9.99,1989
