,Player,College,Height,Weight,Hand_size,Arm_length,40_time,Bench,Vert,Broad,Shuttle,Year
35,1989,Chuck Hartlieb,Iowa,,,,,4.17,4.17,4.17,4.17,1989
36,1989,James Harvey,North Carolina Central,,,29.0,105,4.53,4.53,4.53,4.53,1989
37,1989,Bob Jean,New Hampshire,,,32.5,117,4.60,4.60,4.60,4.60,1989
38,1989,Eric Jones,Vanderbilt,,,35.0,116,4.03,4.03,4.03,4.03,1989
39,1989,Terrence Jones,Tulane (LA),,,34.0,110,4.34,4.34,4.34,4.34,1989
40,1989,Drew Komlo,Catholic University (DC),,,26.5,97,4.64,4.64,4.64,4.64,1989
41,1989,Rodney Peete,Southern California,,,29.0,103,4.53,4.53,4.53,4.53,1989
42,1989,Todd Philcox,Syracuse,,,27.5,100,4.43,4.43,4.43,4.43,1989
43,1989,Brent Snyder,Utah State,,,25.5,104,4.45,4.45,4.45,4.45,1989
44,1989,Billy Joe Tolliver,Texas Tech,,,28.5,96,4.42,4.42,4.42,4.42,1989
45,1989,Erik Wilhelm,Oregon State,,,26.0,101,4.21,4.21,4.21,4.21,1989
46,1990,Kirk Baumgartner,Wisconsin-Steven's Point,8.75,,23.0,100,4.64,4.64,4.64,4.64,1990
47,1990,Frank Baur,Lafayette (PA),10.75,,26.0,106,4.36,4.36,4.36,4.36,1990
48,1990,Mike Buck,Maine,9.88,,25.0,103,4.33,4.33,4.33,4.33,1990
49,1990,Mark Carr,New Hampshire,10.00,,27.5,101,4.39,4.39,4.39,4.39,1990
50,1990,Cary Conklin,Washington,9.25,,26.5,109,4.56,4.56,4.56,4.56,1990
51,1990,Todd Ellis,South Carolina,9.13,,,,9.99,9.99,9.99,9.99,1990
52,1990,Scott Erney,Rutgers,9.50,,29.5,108,4.14,4.14,4.14,4.14,1990
53,1990,John Friesz,Idaho,8.75,,22.0,97,4.57,4.57,4.57,4.57,1990
54,1990,Clemente Gordon,Grambling State (LA),9.88,,28.0,109,4.54,4.54,4.54,4.54,1990
55,1990,John Gromos,Vanderbilt,9.63,,27.0,100,4.31,4.31,4.31,4.31,1990
56,1990,Mike Gundy,Oklahoma State,8.50,,26.0,99,4.27,4.27,4.27,4.27,1990
57,1990,Wally Henry,Mississippi College,,,,,9.99,9.99,9.99,9.99,1990
58,1990,Tommy Hodson,Louisiana State,8.88,,30.5,110,4.40,4.40,4.40,4.40,1990
59,1990,Mike Johnson,Akron,8.63,,28.0,111,4.34,4.34,4.34,4.34,1990
60,1990,Neil O'Donnell,Maryland,9.13,,32.5,109,4.03,4.03,4.03,4.03,1990
61,1990,Michael Proctor,Murray State (KY),8.13,,,118,9.99,9.99,9.99,9.99,1990
62,1990,Tony Rice,Notre Dame,10.13,,37.0,118,4.10,4.10,4.10,4.10,1990
63,1990,Dave Schnell,Indiana,9.63,,26.0,105,4.48,4.48,4.48,4.48,1990
64,1990,Reggie Slack,Auburn,9.75,,,,9.99,9.99,9.99,9.99,1990
65,1990,Troy Taylor,California,9.63,,33.5,116,4.13,4.13,4.13,4.13,1990
66,1990,Peter Willis,Florida State,8.75,,26.0,94,4.53,4.53,4.53,4.53,1990
67,1991,Grady Bennett,Montana,9.63,,29.5,106,4.49,4.49,4.49,4.49,1991
68,1991,Tom Bill,Penn State,10.00,,27.5,105,4.61,4.61,4.61,4.61,1991
69,1991,Jeff Bridewell,UC-Davis,9.25,,27.5,106,4.58,4.58,4.58,4.58,1991
70,1991,Chris Cochrane,Cornell (NY),10.25,,28.5,100,4.38,4.38,4.38,4.38,1991
71,1991,Matthew Degennaro,Connecticut,9.63,,29.5,104,4.51,4.51,4.51,4.51,1991
72,1991,Dan Enos,Michigan State,9.00,,26.0,102,4.22,4.22,4.22,4.22,1991
73,1991,Brett Favre,Southern Mississippi,10.38,,,,9.99,9.99,9.99,9.99,1991
74,1991,Greg Frey,Ohio State,10.00,,27.0,100,4.30,4.30,4.30,4.30,1991
75,1991,Brad Gossen,Washington State,10.25,,25.0,97,4.52,4.52,4.52,4.52,1991
76,1991,David Gulledge,Jacksonville State (AL),9.25,,32.0,116,9.99,9.99,9.99,9.99,1991
77,1991,Donald Hollas,Rice (TX),9.75,,28.5,104,4.31,4.31,4.31,4.31,1991
78,1991,Greg Jones,West Virginia,9.63,,27.5,102,4.56,4.56,4.56,4.56,1991
79,1991,Paul Justin,Arizona State,10.25,,27.5,104,4.36,4.36,4.36,4.36,1991
80,1991,Ralph Martini,San Jose State,9.38,,27.0,103,4.43,4.43,4.43,4.43,1991
81,1991,Dan Mcgwire,San Diego State,10.25,,31.5,114,4.36,4.36,4.36,4.36,1991
82,1991,Shawn Moore,Virginia,,,,,9.99,9.99,9.99,9.99,1991
83,1991,Bill Musgrave,Oregon,9.50,,30.5,106,4.27,4.27,4.27,4.27,1991
84,1991,Browning Nagle,Louisville,10.00,,,,9.99,9.99,9.99,9.99,1991
85,1991,Billy Ray,Duke,9.75,,34.5,118,4.38,4.38,4.38,4.38,1991
86,1991,Deron Smith,Tulane (LA),9.63,,33.0,116,4.31,4.31,4.31,4.31,1991
87,1991,Leonard Valentine,Nicholls State (LA),10.63,,,,9.99,9.99,9.99,9.99,1991
88,1991,Scott Zolak,Maryland,10.50,,30.5,105,4.40,4.40,4.40,4.40,1991
89,1992,Mark Barsotti,Frenso State (CA),10.00,,28.5,108,4.50,4.50,4.50,4.50,1992
90,1992,Jeff Bender,Central Michigan,8.88,,29.5,110,4.58,4.58,4.58,4.58,1992
91,1992,Jeff Blake,East Carolina (NC),8.50,,30.5,115,4.60,4.60,4.60,4.60,1992
92,1992,Matt Blundin,Virginia,9.00,,25.5,103,4.53,4.53,4.53,4.53,1992
93,1992,Ty Detmer,Brigham Young,8.13,,,,9.99,9.99,9.99,9.99,1992
94,1992,Will Furrer,Virginia Tech,9.63,,32.0,106,4.46,4.46,4.46,4.46,1992
95,1992,Kent Graham,Ohio State,9.50,,27.5,103,4.21,4.21,4.21,4.21,1992
96,1992,Chris Hakel,William & Mary (VA),9.75,,23.5,102,4.79,4.79,4.79,4.79,1992
97,1992,Brad Johnson,Florida State,10.13,,29.5,110,4.29,4.29,4.29,4.29,1992
98,1992,Andy Kelly,Tennessee,9.50,,26.0,103,4.31,4.31,4.31,4.31,1992
99,1992,David Klingler,Houston,9.25,,32.5,111,4.01,4.01,4.01,4.01,1992
100,1992,Tony Lowery,Wisconsin,7.63,,32.5,119,4.31,4.31,4.31,4.31,1992
101,1992,Keithen Mccant,Nebraska,9.00,,31.5,120,9.99,9.99,9.99,9.99,1992
102,1992,Mike Pawlawski,California,9.50,,29.5,112,4.46,4.46,4.46,4.46,1992
103,1992,Chris Pederson,Iowa State,11.00,,29.0,101,4.34,4.34,4.34,4.34,1992
104,1992,Matt Rodgers,Iowa,9.13,,26.5,110,4.22,4.22,4.22,4.22,1992
105,1992,T.J. Rubley,Tulsa (OK),8.75,,27.0,,4.22,4.22,4.22,4.22,1992
106,1992,Tony Sacca,Penn State,8.75,,29.5,107,4.21,4.21,4.21,4.21,1992
107,1992,Matt Veatch,San Jose State,9.13,,30.5,109,4.34,4.34,4.34,4.34,1992
108,1992,Kevin Verdugo,Colorado State,9.25,,23.5,97,4.53,4.53,4.53,4.53,1992
109,1992,Casey Weldon,Florida State,9.50,,32.5,102,4.06,4.06,4.06,4.06,1992
110,1993,Drew Bledsoe,Washington State,9.63,,32.5,111,4.54,4.54,4.54,4.54,1993
111,1993,John Bonds,Northern Arizona,10.13,,28.5,106,4.27,4.27,4.27,4.27,1993
112,1993,Mark Brunell,Washington,9.13,,30.5,112,4.19,4.19,4.19,4.19,1993
113,1993,John Charles,Portland State (OR),10.13,,,,9.99,9.99,9.99,9.99,1993
114,1993,Elvis Grbac,Michigan,9.13,,31.5,112,4.50,4.50,4.50,4.50,1993
115,1993,Trent Green,Indiana,9.63,,32.5,116,4.20,4.20,4.20,4.20,1993
116,1993,Billy Joe Hobert,Washington,9.75,,30.5,109,4.29,4.29,4.29,4.29,1993
117,1993,Eric Hunter,Purdue,8.50,,36.5,122,4.39,4.39,4.39,4.39,1993
118,1993,Troy Kopp,Pacific (CA),8.50,,26.5,103,4.46,4.46,4.46,4.46,1993
119,1993,Brad Lebo,Montana,10.75,,27.5,103,4.62,4.62,4.62,4.62,1993
120,1993,Jeff Loots,Southwest Minnesota,9.63,,27.5,104,4.28,4.28,4.28,4.28,1993
121,1993,Jamie Martin,Weber State (UT),9.88,,31.0,115,4.30,4.30,4.30,4.30,1993
122,1993,Shane Matthews,Florida,8.88,,32.0,105,4.37,4.37,4.37,4.37,1993
123,1993,Rick Mirer,Notre Dame,9.25,,,,9.99,9.99,9.99,9.99,1993
124,1993,Henderson Mosely,Central State (OH),9.88,,31.5,105,4.76,4.76,4.76,4.76,1993
125,1993,Charles Puleri,New Mexico State,9.50,,24.5,99,4.53,4.53,4.53,4.53,1993
126,1993,Steve Smith,Western State Colorado,9.75,,,,9.99,9.99,9.99,9.99,1993
127,1993,Gino Torretta,Miami (FL),9.38,,31.0,106,9.99,9.99,9.99,9.99,1993
128,1993,Alex Van Pelt,Pittsburgh,9.75,,30.5,,9.99,9.99,9.99,9.99,1993
129,1993,Erik White,Bowling Green (OH),9.75,,28.5,106,4.59,4.59,4.59,4.59,1993
130,1993,Greg Willig,Rice (TX),10.50,,23.0,90,4.66,4.66,4.66,4.66,1993
131,1994,Jim Ballard,Mount Union (OH),9.88,,26.5,108,4.25,4.25,4.25,4.25,1994
132,1994,Jeff Brohm,Louisville,9.50,,34.5,113,4.23,4.23,4.23,4.23,1994
133,1994,Paul Burmeister,Iowa,9.00,,29.5,108,4.36,4.36,4.36,4.36,1994
134,1994,Robert Cobb,Louisiana-Monroe,10.13,,26.0,104,4.76,4.76,4.76,4.76,1994
135,1994,Trent Dilfer,Frenso State (CA),9.63,,,,9.99,9.99,9.99,9.99,1994
136,1994,Clint Dolezel,East Texas Baptist,8.50,,26.5,112,4.38,4.38,4.38,4.38,1994
137,1994,Jay Fiedler,Dartmouth (NH),9.50,,33.5,116,4.46,4.46,4.46,4.46,1994
138,1994,Glenn Foley,Boston College,9.38,,,,9.99,9.99,9.99,9.99,1994
139,1994,Gus Frerotte,Tulsa (OK),9.50,,26.0,102,4.79,4.79,4.79,4.79,1994
140,1994,Marvin Graves,Syracuse,9.63,,27.5,105,4.54,4.54,4.54,4.54,1994
141,1994,Jake Kelchner,West Virginia,9.25,,27.0,99,4.47,4.47,4.47,4.47,1994
142,1994,Perry Klein,LIU-CW Post (NY),9.00,,32.5,115,4.20,4.20,4.20,4.20,1994
143,1994,Jimmy Klingler,Houston,9.00,,29.5,111,4.45,4.45,4.45,4.45,1994
144,1994,Steve Matthews,Memphis,8.88,,,,9.99,9.99,9.99,9.99,1994
145,1994,Jim Miller,Michigan State,9.38,,24.5,100,4.39,4.39,4.39,4.39,1994
146,1994,Cree Morris,Saint Mary's (CA),10.25,,26.5,99,4.73,4.73,4.73,4.73,1994
147,1994,Doug Nussmeier,Idaho,9.63,,33.0,113,4.13,4.13,4.13,4.13,1994
148,1994,Heath Shuler,Tennessee,10.63,,,,9.99,9.99,9.99,9.99,1994
149,1994,Jewel Walker,Howard (DC),9.13,,30.0,106,4.66,4.66,4.66,4.66,1994
150,1995,Jay Barker,Alabama,10.00,,27.0,105,4.31,4.31,4.31,4.31,1995
151,1995,Dave Barr,California,9.75,,,,9.99,9.99,9.99,9.99,1995
152,1995,Stoney Case,New Mexico,9.63,,30.5,111,4.25,4.25,4.25,4.25,1995
153,1995,Kerry Collins,Penn State,10.00,,,,9.99,9.99,9.99,9.99,1995
154,1995,Todd Collins,Michigan,9.50,,30.0,111,4.34,4.34,4.34,4.34,1995
155,1995,Frank Costa,Miami (FL),10.25,,25.0,101,4.66,4.66,4.66,4.66,1995
156,1995,Ed Daniels,Langston (OK),10.00,,27.0,110,4.47,4.47,4.47,4.47,1995
157,1995,Terry Dean,Florida,10.13,,30.0,111,4.12,4.12,4.12,4.12,1995
158,1995,Kelly Holcomb,Middle Tennessee State,9.50,,28.0,107,4.44,4.44,4.44,4.44,1995
159,1995,Rob Johnson,Southern California,9.75,,,,9.99,9.99,9.99,9.99,1995
160,1995,Kevin Mason,Syracuse,10.00,,31.0,113,4.09,4.09,4.09,4.09,1995
161,1995,Chad May,Kansas State,10.63,,,,9.99,9.99,9.99,9.99,1995
162,1995,Steve Mcnair,Alcorn State (MS),10.50,,,115,9.99,9.99,9.99,9.99,1995
163,1995,John Sacca,Eastern Kentucky,10.13,,27.5,107,4.38,4.38,4.38,4.38,1995
164,1995,Steve Stenstrom,Stanford,9.00,,28.0,100,4.03,4.03,4.03,4.03,1995
165,1995,Kordell Stewart,Colorado,9.50,,36.0,125,4.13,4.13,4.13,4.13,1995
166,1995,John Walsh,Brigham Young,9.75,,,,9.99,9.99,9.99,9.99,1995
167,1995,Eric Zeier,Georgia,9.13,,,,9.99,9.99,9.99,9.99,1995
168,1996,Tony Banks,Michigan State,9.50,,,,4.55,4.55,4.55,4.55,1996
169,1996,Grady Benton,West Texas A&M,9.63,,29.0,109,4.62,4.62,4.62,4.62,1996
170,1996,Brook Berringer,Nebraska,9.63,,33.0,113,4.13,4.13,4.13,4.13,1996
171,1996,Antwan Chiles,Liberty (VA),10.63,,30.0,105,4.73,4.73,4.73,4.73,1996
172,1996,Dave Dickenson,Montana,9.00,,29.0,108,4.51,4.51,4.51,4.51,1996
173,1996,Mike Groh,Virginia,9.00,,31.0,117,4.41,4.41,4.41,4.41,1996
174,1996,Bobby Hoying,Ohio State,9.63,,31.0,108,4.16,4.16,4.16,4.16,1996
175,1996,Danny Kanell,Florida State,9.38,,,,9.99,9.99,9.99,9.99,1996
176,1996,Josh Larocca,Rice (TX),8.50,,,,9.99,9.99,9.99,9.99,1996
177,1996,Jeff Lewis,Northern Arizona,9.25,,,,9.99,9.99,9.99,9.99,1996
178,1996,Scott Milanovich,Maryland,9.25,,,,9.99,9.99,9.99,9.99,1996
179,1996,Alfred Montez,Western New Mexico,9.25,,24.5,99,4.79,4.79,4.79,4.79,1996
180,1996,Josh Nelson,Mississippi,10.00,,31.5,108,4.53,4.53,4.53,4.53,1996
181,1996,Kendrick Nord,Grambling State (LA),10.13,,36.5,120,4.32,4.32,4.32,4.32,1996
182,1996,James Richey,Stephen F. Austin (TX),9.63,,25.5,107,9.99,9.99,9.99,9.99,1996
183,1996,Aaron Sparrow,Norfolk State (VA),9.75,,29.5,108,4.21,4.21,4.21,4.21,1996
184,1996,Jon Stark,Trinity International (IL),9.25,,,,9.99,9.99,9.99,9.99,1996
185,1996,Steve Taneyhill,South Carolina,8.88,,,,9.99,9.99,9.99,9.99,1996
186,1996,Kyle Wachholtz,Southern California,9.25,,25.0,96,4.65,4.65,4.65,4.65,1996
187,1996,Dan White,Arizona,8.75,,,,9.99,9.99,9.99,9.99,1996
188,1997,Jim Arellanes,Frenso State (CA),9.75,,27.0,102,4.67,4.67,4.67,4.67,1997
189,1997,Pat Barnes,California,9.50,,,,9.99,9.99,9.99,9.99,1997
190,1997,Mike Cherry,Murray State (KY),9.75,,28.5,105,4.38,4.38,4.38,4.38,1997
191,1997,Chuck Clements,Houston,9.50,,31.5,108,4.36,4.36,4.36,4.36,1997
192,1997,Marcus Crandell,East Carolina (NC),9.25,,30.0,105,4.67,4.67,4.67,4.67,1997
193,1997,Jason Davis,Western State Colorado,9.00,,30.5,107,4.33,4.33,4.33,4.33,1997
194,1997,Koy Detmer,Colorado,8.00,,28.5,103,4.37,4.37,4.37,4.37,1997
195,1997,Jim Druckenmiller,Virginia Tech,11.25,,29.0,106,4.28,4.28,4.28,4.28,1997
196,1997,Lance Funderburk,Valdosta State (GA),9.50,,27.0,97,9.99,9.99,9.99,9.99,1997
197,1997,Eric Kresser,Marshall (WV),9.88,,,,9.99,9.99,9.99,9.99,1997
198,1997,Jason Martin,Louisiana Tech,9.50,,29.0,101,4.47,4.47,4.47,4.47,1997
199,1997,Brad Otton,Southern California,10.13,,31.5,112,4.39,4.39,4.39,4.39,1997
200,1997,Jake Plummer,Arizona State,9.25,,30.0,111,4.29,4.29,4.29,4.29,1997
201,1997,Wally Richardson,Penn State,10.25,,31.0,109,4.47,4.47,4.47,4.47,1997
202,1997,Steve Sarkisian,Brigham Young,9.38,,30.0,104,4.51,4.51,4.51,4.51,1997
203,1997,Danny Wuerffel,Florida,9.50,,28.0,100,4.42,4.42,4.42,4.42,1997
204,1998,Charlie Batch,Eastern Michigan,9.75,,33.5,118,4.11,4.11,4.11,4.11,1998
205,1998,Thad Busby,Florida State,10.13,,30.5,110,9.99,9.99,9.99,9.99,1998
206,1998,Ryan Clement,Miami (FL),9.75,,31.0,104,4.39,4.39,4.39,4.39,1998
207,1998,John Dutton,Nevada Las Vegas,9.13,,29.0,104,4.22,4.22,4.22,4.22,1998
208,1998,Shane Fortney,Northern Iowa,9.75,,33.5,114,4.30,4.30,4.30,4.30,1998
209,1998,Dan Gonzalez,East Carolina (NC),10.50,,29.0,104,4.23,4.23,4.23,4.23,1998
210,1998,Paul Kaiser,Central Missouri,10.00,,34.5,114,4.04,4.04,4.04,4.04,1998
211,1998,Ryan Leaf,Washington State,10.50,,,,9.99,9.99,9.99,9.99,1998
212,1998,Peyton Manning,Tennessee,10.13,,,,9.99,9.99,9.99,9.99,1998
213,1998,Chris Mccoy,Navy,9.75,,29.5,109,9.99,9.99,9.99,9.99,1998
214,1998,Mike Mcqueary,Penn State,10.13,,26.0,99,4.40,4.40,4.40,4.40,1998
215,1998,Ron Powlus,Notre Dame,10.50,,26.0,98,4.35,4.35,4.35,4.35,1998
216,1998,Cory Sauter,Minnesota,9.38,,31.0,109,4.15,4.15,4.15,4.15,1998
217,1998,Matt Sherman,Iowa,10.00,,26.5,103,4.37,4.37,4.37,4.37,1998
218,1999,Todd Bandhaur,Iowa State,,,31.0,103,4.61,4.61,4.61,4.61,1999
219,1999,Michael Bishop,Kansas State,,,33.0,113,4.62,4.62,4.62,4.62,1999
220,1999,Aaron Brooks,Virginia,9.50,,35.5,118,4.29,4.29,4.29,4.29,1999
221,1999,Mike Cook,William & Mary (VA),9.63,,33.5,112,4.32,4.32,4.32,4.32,1999
222,1999,Tim Couch,Kentucky,9.88,,31.0,,4.34,4.34,4.34,4.34,1999
223,1999,Scott Covington,Miami (FL),9.50,,34.0,107,4.42,4.42,4.42,4.42,1999
224,1999,Daunte Culpepper,Central Florida,9.50,,39.0,122,4.13,4.13,4.13,4.13,1999
225,1999,Kevin Daft,UC-Davis,9.88,,32.5,109,4.37,4.37,4.37,4.37,1999
226,1999,Oscar Davenport,North Carolina,9.25,,31.0,103,4.82,4.82,4.82,4.82,1999
227,1999,Scott Dreisbach,Michigan,9.75,,33.0,109,4.27,4.27,4.27,4.27,1999
228,1999,Mark Garcia,Ohio State,9.25,,33.5,107,4.20,4.20,4.20,4.20,1999
229,1999,Joe Germaine,Ohio State,9.25,,32.0,102,4.21,4.21,4.21,4.21,1999
230,1999,Chris Greisen,Northwest Missouri State,9.63,,30.5,107,4.33,4.33,4.33,4.33,1999
231,1999,Brock Huard,Washington,,,30.5,107,4.44,4.44,4.44,4.44,1999
232,1999,Shaun King,Tulane (LA),9.25,,33.0,113,4.29,4.29,4.29,4.29,1999
233,1999,Brian Kuklick,Wake Forest,10.00,,31.0,103,4.56,4.56,4.56,4.56,1999
234,1999,Graham Leigh,New Mexico,9.75,,32.5,111,4.27,4.27,4.27,4.27,1999
235,1999,Jason Maas,Oregon,,,31.5,103,4.35,4.35,4.35,4.35,1999
236,1999,Donovan McNabb,Syracuse,10.00,,33.0,116,4.38,4.38,4.38,4.38,1999
237,1999,Cade McNown,UCLA,9.38,,33.5,108,4.28,4.28,4.28,4.28,1999
238,1999,Akili Smith,Oregon,9.75,,34.0,111,4.29,4.29,4.29,4.29,1999
239,1999,Ted White,Howard (DC),9.75,,30.5,106,4.51,4.51,4.51,4.51,1999
240,1999,Anthony Wright,South Carolina,9.50,,31.0,116,4.35,4.35,4.35,4.35,1999
241,2000,Tom Brady,Michigan,9.38,,24.5,99,4.38,4.38,4.38,4.38,2000
242,2000,Travis Brown,Northern Arizona,9.00,,29.0,101,4.87,4.87,4.87,4.87,2000
243,2000,Marc Bulger,West Virginia,9.25,,,100,4.34,4.34,4.34,4.34,2000
244,2000,Bill Burke,Michigan State,9.88,,28.5,107,4.42,4.42,4.42,4.42,2000
245,2000,Giovanni Carmazzi,Hofstra (NY),9.50,,36.5,119,4.23,4.23,4.23,4.23,2000
246,2000,Kevin Feterik,Brigham Young,9.00,,31.0,106,4.45,4.45,4.45,4.45,2000
247,2000,Justin Fuente,Murray State (KY),9.13,,27.5,100,4.42,4.42,4.42,4.42,2000
248,2000,Joe Hamilton,Georgia Tech,9.00,,,106,9.99,9.99,9.99,9.99,2000
249,2000,Todd Husak,Stanford,9.75,,27.5,99,4.41,4.41,4.41,4.41,2000
250,2000,Jarious Jackson,Notre Dame,,,,109,9.99,9.99,9.99,9.99,2000
251,2000,Doug Johnson,Florida,9.50,,29.5,96,9.99,9.99,9.99,9.99,2000
252,2000,Sean Keenan,Williams College (MA),,,25.5,95,4.41,4.41,4.41,4.41,2000
253,2000,Tim Lester,Western Michigan,10.00,,27.0,97,4.24,4.24,4.24,4.24,2000
254,2000,Tee Martin,Tennessee,10.25,,34.5,113,9.99,9.99,9.99,9.99,2000
255,2000,Chad Pennington,Marshall (WV),10.25,,33.5,111,4.16,4.16,4.16,4.16,2000
256,2000,Tim Rattay,Louisiana Tech,9.00,,25.5,100,4.21,4.21,4.21,4.21,2000
257,2000,Chris Redman,Louisville,9.75,,26.5,98,4.78,4.78,4.78,4.78,2000
258,2000,Spergon Wynn,Texas State,10.00,,34.0,108,4.59,4.59,4.59,4.59,2000
259,2001,Jonathan Beasley,Kansas State,,,29.5,102,4.38,4.38,4.38,4.38,2001
260,2001,Josh Booty,Louisiana State,9.50,,29.5,105,4.48,4.48,4.48,4.48,2001
261,2001,Drew Brees,Purdue,10.25,,32.0,105,4.21,4.21,4.21,4.21,2001
262,2001,Quincy Carter,Georgia,9.00,,35.5,113,4.12,4.12,4.12,4.12,2001
263,2001,Justin Coleman,Nebraska-Kearney,9.00,,29.5,101,4.62,4.62,4.62,4.62,2001
264,2001,Shane Griggs,Idaho State,8.50,,,,9.99,9.99,9.99,9.99,2001
265,2001,Tim Hasselbeck,Boston College,,,33.0,113,4.40,4.40,4.40,4.40,2001
266,2001,Josh Heupel,Oklahoma,8.50,,37.5,114,4.15,4.15,4.15,4.15,2001
267,2001,Ortege Jenkins,Arizona,9.00,,34.5,108,4.40,4.40,4.40,4.40,2001
268,2001,Cleo Lemon,Arkansas State,,,35.5,106,4.27,4.27,4.27,4.27,2001
269,2001,Mike McMahon,Rutgers,9.75,,37.5,124,4.12,4.12,4.12,4.12,2001
270,2001,Romaro Miller,Mississippi,10.50,,35.0,110,4.51,4.51,4.51,4.51,2001
271,2001,Jesse Palmer,Florida,9.75,,35.5,112,4.29,4.29,4.29,4.29,2001
272,2001,David Rivers,Western Carolina,,,31.5,115,4.20,4.20,4.20,4.20,2001
273,2001,Sage Rosenfels,Iowa State,10.25,,34.0,107,4.29,4.29,4.29,4.29,2001
274,2001,Marques Tuiasosopo,Washington,9.00,,35.5,115,4.35,4.35,4.35,4.35,2001
275,2001,Michael Vick,Virginia Tech,8.50,,38.0,,9.99,9.99,9.99,9.99,2001
276,2002,David Carr,Frenso State (CA),9.75,,35.0,106,4.28,4.28,4.28,4.28,2002
277,2002,Ronald Curry,North Carolina,9.75,,35.0,110,4.11,4.11,4.11,4.11,2002
278,2002,Rohan Davey,Louisiana State,9.50,,25.5,,9.99,9.99,9.99,9.99,2002
279,2002,Brandon Doman,Brigham Young,9.50,,32.5,106,4.08,4.08,4.08,4.08,2002
280,2002,Randy Fasani,Stanford,9.75,,31.5,106,3.87,3.87,3.87,3.87,2002
281,2002,David Garrard,East Carolina (NC),10.50,,33.5,110,4.26,4.26,4.26,4.26,2002
282,2002,Joey Harrington,Oregon,9.75,,32.0,107,4.21,4.21,4.21,4.21,2002
283,2002,Kurt Kittner,Illinois,9.00,,27.0,97,4.50,4.50,4.50,4.50,2002
284,2002,Josh McCown,Sam Houston State (TX),9.00,,38.5,118,3.90,3.90,3.90,3.90,2002
