,Player,Team,DYAR,DVOA,Targets,Yards,EfYds,TD,Catch_rate,Year,Yds
0,T.Christensen,LARD,274,21.40%,146,,"1,398",8,65%,1986,"1,153"
1,M.Bavaro,NYG,214,24.00%,102,,"1,044",4,65%,1986,"1,001"
2,S.Jordan,MIN,187,26.40%,88,,874,6,66%,1986,859
3,C.Didier,WAS,141,25.20%,66,,671,4,52%,1986,691
4,R.Holman,CIN,137,31.80%,54,,595,2,74%,1986,570
5,C.Magee,TB,109,15.60%,74,,640,5,61%,1986,562
6,R.Francis,SF,107,20.10%,60,,565,1,68%,1986,505
7,P.Holohan,SD,94,28.60%,40,,427,1,73%,1986,356
8,K.Winslow,SD,84,4.20%,111,,793,5,58%,1986,728
9,M.Shuler,NYJ,53,0.50%,104,,692,4,66%,1986,675
10,O.Mobley,DEN,40,7.70%,42,,309,1,52%,1986,332
11,E.Moorehead,CHI,34,5.30%,43,,302,1,60%,1986,390
12,D.Johnson,MIA,31,6.80%,31,,255,4,61%,1986,170
13,C.Kay,DEN,31,9.10%,25,,227,1,60%,1986,195
14,D.Marsh,STLC,29,5.00%,42,,262,0,60%,1986,313
15,K.Whisenhunt,ATL,29,7.60%,34,,226,3,62%,1986,204
16,G.Baty,NE,29,1.30%,52,,345,2,71%,1986,332
17,H.Brenner,NO,22,1.60%,34,,253,0,53%,1986,286
18,B.Hardy,MIA,18,-3.70%,71,,462,5,76%,1986,430
19,J.Spagnola,PHI,15,-3.00%,54,,336,1,72%,1986,397
20,P.Gothard,PIT,14,-1.60%,36,,233,1,58%,1986,246
21,D.Cosbie,DAL,3,-6.50%,52,,305,1,54%,1986,312
22,D.Hill,LARM,2,-6.40%,26,,149,1,54%,1986,204
23,A.Cox,ATL,1,-7.00%,39,,213,1,62%,1986,301
24,O.Newsome,CLE1,-4,-8.20%,66,,364,3,59%,1986,417
25,T.Wrightman,CHI,-9,-11.50%,33,,162,0,67%,1986,241
26,J.Tice,NO,-10,-9.90%,55,,301,3,67%,1986,330
27,P.Metzelaars,BUF,-16,-10.70%,71,,362,3,69%,1986,485
28,M.Boyer,IND,-18,-14.80%,37,,162,1,59%,1986,237
29,J.Williams,HOIL,-21,-15.40%,38,,172,1,58%,1986,227
30,D.Warren,WAS,-25,-19.60%,30,,116,1,67%,1986,164
31,D.Ross,GB,-28,-21.30%,30,,106,1,57%,1986,143
32,W.Arnold,KC,-33,-21.10%,36,,127,1,56%,1986,169
33,J.Giles,2TM,-37,-14.60%,77,,347,4,48%,1986,376
34,D.Little,PHI,-38,-27.40%,29,,75,0,48%,1986,136
35,T.Hunter,LARM,-41,-34.50%,24,,37,0,63%,1986,206
36,P.Beach,IND,-46,-24.00%,41,,130,1,61%,1986,265
37,R.Klever,NYJ,-68,-36.50%,33,,48,0,45%,1986,150
38,G.Hawthorne,NE,-71,-32.80%,41,,79,0,59%,1986,192
39,E.West,GB,42,23.00%,23,,209,1,65%,1986,199
40,J.Bell,TB,28,25.00%,13,,136,0,77%,1986,120
41,E.Kattus,CIN,23,12.70%,15,,149,1,73%,1986,99
42,M.Mularkey,MIN,21,14.10%,15,,127,2,73%,1986,89
43,Z.Mowatt,NYG,3,-4.50%,17,,104,2,59%,1986,119
44,G.Wilkins,BUF,-2,-10.30%,11,,55,0,73%,1986,74
45,M.Tice,SEA,-8,-13.20%,22,,95,0,68%,1986,150
46,J.Hayes,KC,-9,-17.40%,14,,58,0,57%,1986,69
47,G.LaFleur,IND,-12,-21.40%,12,,45,0,58%,1986,56
48,D.Lewis,DET,-16,-18.70%,20,,82,1,50%,1986,88
49,T.Sherwin,IND,-18,-29.30%,9,,29,1,33%,1986,26
50,M.Moffitt,GB,-19,-33.50%,12,,20,0,33%,1986,87
51,R.Middleton,ATL,-26,-37.90%,11,,15,0,55%,1986,31
52,G.Hudson,SEA,-33,-29.20%,23,,55,1,57%,1986,131
53,J.Frank,SF,-44,-39.40%,19,,19,2,47%,1986,61
54,P.Coffman,KC,-57,-39.30%,23,,25,2,52%,1986,75
55,M.Bavaro,NYG,343,65.90%,73,,"1,142",8,75%,1987,865
56,T.Christensen,LARD,184,30.20%,74,,815,2,64%,1987,663
57,S.Jordan,MIN,109,26.30%,49,,512,2,71%,1987,490
58,C.Magee,TB,99,22.00%,51,,499,3,67%,1987,424
59,R.Holman,CIN,83,20.30%,48,,433,2,58%,1987,438
60,J.Tice,NO,80,38.60%,24,,319,6,67%,1987,181
61,R.Awalt,STLC,68,7.70%,68,,532,6,62%,1987,526
62,O.Newsome,CLE1,55,12.90%,42,,352,0,71%,1987,346
63,J.Novacek,STLC,47,12.80%,34,,300,3,59%,1987,254
64,C.Boso,CHI,44,18.20%,26,,239,2,65%,1987,188
65,J.Frank,SF,43,11.60%,33,,284,3,79%,1987,296
