,Player,Weighted_Targets,EDYAR,EYds
0,A.Kamara,100.0,341.31,851.12
1,T.Gurley,84.25,175.67,788.25
2,C.Thompson,62.14,164.64,451.28
3,T.Coleman,43.07,125.5,306.0
4,K.Hunt,63.0,125.23,468.84
5,Du.Johnson,95.33,124.55,574.85
6,A.Ekeler,35.0,103.13,287.48
7,S.Perine,25.0,103.13,189.6
8,L.Bell,111.49,98.18,493.09
9,M.Gordon,81.01,90.83,414.7
10,D.Freeman,58.27,88.85,281.26
11,J.Williams,34.0,88.0,301.56
12,L.Miller,46.99,85.4,276.99
13,L.McCoy,77.81,76.84,484.01
14,L.Fournette,48.0,71.21,311.18
15,R.Burkhead,33.35,68.7,214.27
16,J.Richard,40.54,60.05,218.98
17,C.Clement,15.0,52.38,141.57
18,T.Riddick,76.21,49.81,411.39
19,G.Bernard,62.27,44.33,358.43
20,D.Woodhead,68.82,43.0,234.24
21,E.Elliott,42.36,42.69,322.18
22,B.Cunningham,26.57,39.54,185.78
23,D.Henry,17.85,35.76,166.95
24,K.Bibbs,17.0,35.26,106.41
25,Da.Williams,31.79,33.58,145.25
26,D.Murray,59.02,33.52,354.62
27,A.Ellington,49.44,31.86,247.27
28,K.Juszczyk,48.63,30.45,293.1
29,M.Ingram,72.8,29.47,350.66
30,J.McKinnon,68.76,28.75,280.29
31,F.Gore,45.39,27.14,195.05
32,A.Abdullah,39.45,25.75,156.26
33,C.J.Prosise,15.07,25.36,155.44
34,T.Rawls,15.75,24.23,85.45
35,D.Sproles,35.48,24.0,149.53
36,M.Forte,48.5,20.74,167.96
37,C.Ivory,30.65,20.53,207.1
38,M.Breida,37.0,19.64,179.29
39,T.Cadet,34.05,19.55,160.46
40,J.Rodgers,13.94,19.39,81.57
41,E.McGuire,26.0,18.86,203.72
42,W.Smallwood,17.81,17.92,110.45
43,K.Williams,16.04,16.01,88.64
44,C.Sims,45.77,13.87,231.17
45,D.Booker,44.25,13.31,210.4
46,O.Darkwa,28.0,7.37,81.53
47,L.Murray,28.46,7.04,158.42
48,B.Allen,66.44,6.02,279.29
49,M.Davis,17.81,4.97,90.19
50,P.Barber,19.0,3.14,131.21
51,C.J.Anderson,37.73,2.98,188.22
52,A.Ripkowski,10.95,1.63,34.09
53,R.Turbin,21.13,1.5,91.32
54,D.Martin,18.95,1.29,92.51
55,B.Powell,52.03,0.93,287.02
56,J.Charles,31.41,0.35,140.47
57,T.Bonahon,11.0,0.0,39.24
58,P.Perkins,16.25,-1.41,108.83
59,B.Oliver,13.56,-1.53,57.05
60,J.Develin,10.0,-1.97,40.35
61,W.Gallman,48.0,-2.1,222.14
62,K.Drake,38.15,-2.5,219.42
63,P.DiMarco,10.95,-3.68,36.42
64,M.Tolbert,17.85,-3.91,46.54
65,D.Cook,16.0,-6.14,92.74
66,M.Brown,11.0,-6.65,47.54
67,C.West,37.22,-8.83,162.15
68,T.J.Yeldon,55.11,-9.56,233.29
69,T.Ervin,11.0,-9.79,31.59
70,C.Hyde,76.6,-11.26,283.08
71,J.Ajayi,37.6,-12.73,143.99
72,S.Vereen,45.14,-14.45,182.6
73,M.Lynch,30.15,-17.33,122.35
74,I.Crowell,50.86,-18.67,211.37
75,J.Howard,41.85,-30.73,235.12
76,A.Collins,29.94,-43.55,191.65
77,A.Jones,18.0,-62.86,25.32
78,T.Cohen,71.0,-78.58,366.83
