,Player,Weighted_Targets,EDYAR,EYds
0,R.Gronkowski,86.53,271.78,981.46
1,T.Kelce,127.14,236.7,1176.72
2,H.Henry,62.25,162.81,641.21
3,C.Brate,82.86,142.46,535.92
4,O.J.Howard,39.0,109.9,487.99
5,A.Hooper,54.83,93.32,518.88
6,E.Ebron,90.55,84.22,546.41
7,Z.Ertz,114.82,73.17,312.29
8,J.Graham,101.48,66.89,277.91
9,N.O'Leary,32.0,64.75,324.65
10,V.Davis,69.29,61.5,257.69
11,M.Bennett,57.1,53.64,359.53
12,Z.Miller,47.59,51.82,397.66
13,G.Kittle,63.0,49.85,426.8
14,C.Fleener,50.71,48.11,247.25
15,K.Rudolph,104.25,46.18,706.73
16,L.Toilolo,16.63,39.64,142.9
17,A.Shaheen,14.0,36.26,105.25
18,G.Olsen,73.41,35.93,615.13
19,J.Doyle,102.12,35.83,248.94
20,G.Celek,41.09,35.26,204.91
21,N.Paul,32.14,33.95,262.47
22,E.Dickson,40.15,33.74,273.17
23,E.Tomlinson,11.0,33.71,122.0
24,N.Vannett,15.0,32.63,102.76
25,D.Fells,22.01,31.38,197.53
26,J.Reed,56.72,22.64,143.62
27,T.Kroft,47.28,22.43,317.52
28,D.Morgan,12.0,21.75,78.73
29,J.Cook,78.13,19.13,482.59
30,C.Clay,82.97,18.58,612.28
31,A.Traylor,13.0,15.41,82.87
32,T.Burton,43.36,13.7,239.88
33,V.McDonald,33.04,12.4,97.05
34,R.Ellison,27.25,12.31,105.63
35,R.Rodgers,30.31,12.06,210.85
36,C.J.Uzomah,24.26,10.63,125.98
37,J.Heuerman,18.66,10.4,148.92
38,D.Sims,32.85,9.8,181.91
39,L.Willson,22.89,9.15,55.24
40,D.Allen,34.21,8.86,76.52
41,R.Seals-Jones,28.0,5.82,211.82
42,N.Sterling,13.45,5.62,97.6
43,D.Carrier,15.65,5.61,36.72
44,J.O'Shaughnessy,24.0,4.44,150.23
45,J.Adams,15.28,4.23,109.13
46,L.Smith,12.36,3.63,63.03
47,V.Green,28.74,2.11,124.58
48,C.Walford,27.99,1.76,155.63
49,S.Anderson,41.82,-0.41,225.58
50,A.Fasano,16.18,-0.84,42.43
51,J.Gresham,54.11,-2.42,210.78
52,E.Engram,115.0,-5.44,813.7
53,T.Niklas,23.0,-6.21,133.09
54,M.Hoomanawanui,12.76,-6.87,40.31
55,B.Celek,23.54,-7.1,173.43
56,N.Boyle,34.0,-8.29,166.26
57,S.DeValve,58.0,-13.6,327.35
58,R.Griffin,45.02,-15.32,98.3
59,J.Thomas,61.52,-16.59,215.01
60,C.J.Fiedorowicz,47.73,-19.25,244.18
61,J.James,65.5,-19.56,433.3
62,G.Everett,32.0,-21.76,274.99
63,M.Williams,29.98,-23.81,183.57
64,A.Seferian-Jenkins,58.5,-24.75,312.9
65,J.Hill,23.95,-30.01,163.05
66,L.Kendricks,55.99,-32.57,188.05
67,D.Harris,35.54,-35.0,167.54
68,J.Hollister,11.0,-36.26,34.81
69,T.Higbee,41.73,-36.94,239.24
70,J.Smith,30.0,-51.2,165.45
71,A.J.Derby,40.0,-51.31,201.56
72,R.Travis,17.0,-51.67,62.98
73,D.Daniels,13.0,-59.85,29.3
