,Player,Weighted_Targets,EDYAR,EYds
0,A.Brown,161.29,335.47,1170.6
1,C.Kupp,92.0,289.62,801.61
2,M.Thomas,141.06,284.25,943.33
3,K.Allen,137.58,250.13,901.53
4,B.Cooks,116.13,248.02,1027.31
5,S.Diggs,100.86,246.14,800.2
6,M.Evans,148.94,221.07,1028.22
7,D.Baldwin,122.1,200.53,832.94
8,D.Hopkins,167.86,195.56,948.82
9,A.Thielen,126.91,192.36,639.24
10,D.Adams,119.15,180.2,711.75
11,G.Tate,125.72,149.49,829.15
12,M.Lee,99.61,146.53,716.31
13,S.Watkins,64.71,145.15,499.57
14,J.Nelson,109.99,143.3,506.96
15,T.Y.Hilton,124.65,141.51,779.46
16,R.Matthews,94.42,140.53,584.73
17,A.J.Green,130.17,140.08,849.63
18,K.Golladay,48.0,138.42,440.01
19,Tr.Taylor,60.0,122.27,453.41
20,D.Funchess,95.39,120.96,732.13
21,K.Benjamin,91.49,120.59,731.68
22,M.Sanu,91.86,116.31,480.38
23,T.Ginn,78.58,114.3,523.29
24,J.Landry,152.5,114.27,800.15
25,S.Shepard,91.4,111.63,756.46
26,P.Garcon,82.66,103.04,513.89
27,J.Crowder,102.47,99.15,750.59
28,A.Humphries,83.61,98.45,583.45
29,P.Richardson,66.39,98.37,433.82
30,K.Stills,98.03,96.86,622.34
31,M.Bryant,87.2,95.03,626.4
32,D.Amendola,68.23,94.53,360.26
33,C.Beasley,75.08,91.54,342.82
34,M.Crabtree,115.95,90.42,582.81
35,T.Williams,91.49,89.17,501.31
36,C.Hogan,59.11,88.2,418.14
37,A.Jeffery,112.49,87.88,438.13
38,M.Wallace,100.42,84.32,635.0
39,T.Williams,72.41,83.25,465.12
40,T.Gabriel,51.38,77.81,421.56
41,D.Parker,94.12,74.66,647.09
42,D.Moncrief,50.25,74.2,336.82
43,O.Beckham,82.62,73.79,493.5
44,T.Benjamin,69.39,71.88,421.11
45,W.Fuller,63.92,67.32,517.22
46,A.Wilson,58.91,66.74,353.84
47,L.Fitzgerald,159.28,66.33,766.24
48,N.Agholor,87.63,65.65,593.24
49,K.Wright,76.18,65.51,386.74
50,R.Anderson,104.59,63.53,771.59
51,M.Hollins,22.0,62.82,208.47
52,R.Cobb,90.78,62.4,347.15
53,D.Bryant,121.35,61.75,672.7
54,D.Inman,61.43,61.62,343.22
55,T.Lockett,70.55,59.39,439.07
56,B.LaFell,95.47,58.03,498.97
57,A.Hurns,62.87,54.26,456.45
58,E.Decker,63.6,53.03,349.19
59,M.Goodwin,93.83,52.39,424.34
60,R.Grant,50.63,52.04,223.01
61,J.Grant,23.0,50.91,159.89
62,K.Britt,65.27,50.6,403.85
63,W.Snead,44.52,49.49,268.49
64,B.Coleman,37.6,48.22,258.59
65,P.Dorsett,31.37,46.64,225.19
66,J.J.Nelson,65.65,46.5,402.41
67,A.Erickson,16.0,45.82,137.05
68,B.Butler,26.07,45.22,148.72
69,J.Hardy,29.86,43.27,147.87
70,T.Pryor,70.52,42.5,341.23
71,C.Conley,33.23,40.25,217.42
72,C.Latimer,26.06,38.6,165.07
73,E.Rogers,45.95,37.72,232.01
74,K.Cole,83.0,37.27,693.68
75,J.Wright,21.63,33.6,108.94
76,M.Campanaro,27.0,33.01,163.81
77,J.Kearse,98.55,31.81,387.44
78,T.J.Jones,38.06,31.64,229.34
79,J.Doctson,78.0,31.4,382.21
80,M.Wheaton,37.14,26.58,266.24
81,A.Holmes,23.81,23.99,104.64
82,J.Mickens,11.0,23.6,81.19
83,T.McBride,15.0,22.91,109.64
84,G.Allison,33.8,22.09,254.16
85,E.Sanders,106.52,21.73,561.83
86,C.Patterson,51.35,21.71,337.46
87,J.Matthews,62.41,18.79,344.6
88,A.Robinson,43.19,18.78,231.83
89,J.Bellamy,43.76,15.34,240.16
90,J.Holton,18.0,15.31,117.89
91,L.Murphy,17.45,15.28,112.6
92,R.Shepard,34.82,14.54,135.74
93,S.Roberts,69.35,12.89,420.4
94,B.Tate,13.13,11.7,73.78
95,T.King,37.0,11.67,129.79
96,Ja.Brown,54.34,11.6,210.35
97,K.Bourne,34.0,10.72,369.26
98,B.Fowler,46.08,9.62,275.21
99,J.Maclin,73.82,9.44,385.36
100,B.Bersin,13.13,8.43,65.25
101,Ta.Taylor,28.0,8.04,331.9
102,DA.Thomas,19.02,6.26,106.86
103,J.Gordon,43.92,4.68,309.19
104,Jo.Brown,61.21,4.68,204.59
105,S.Coates,23.35,1.59,173.23
106,D.Byrd,17.0,0.0,96.86
107,J.Kerley,55.6,-2.34,297.64
108,A.Darboh,13.0,-6.44,74.87
109,B.Treggs,16.2,-11.99,92.74
110,L.Carroo,14.0,-15.02,72.76
