,Player,Weighted_Targets,EDYAR,EYds
111,D.Robinson,39.0,-15.02,223.54
112,R.Higgins,38.79,-16.2,258.87
113,B.Marshall,63.58,-17.06,408.92
114,L.Treadwell,35.0,-20.1,287.36
115,C.Hansen,17.0,-22.77,135.06
116,B.Miller,28.89,-23.94,114.33
117,B.Ellington,45.15,-25.25,265.48
118,P.Cooper,19.46,-26.3,144.37
119,C.Davis,57.09,-27.93,235.69
120,D.Westbrook,51.0,-37.27,312.71
121,A.Stewart,15.0,-39.4,78.41
122,K.Clay,20.0,-43.69,80.48
123,K.Aiken,46.26,-46.52,145.91
124,J.Reynolds,24.0,-46.89,149.43
125,R.Louis,53.38,-47.59,333.41
126,89-M.Clark,14.0,-49.57,58.91
127,T.Rudolph,21.0,-65.64,145.12
128,I.McKenzie,13.0,-66.98,41.67
129,T.Austin,50.64,-91.56,173.91
130,Z.Jones,74.0,-175.5,454.03
