,Player,Weighted_Passes,EDYAR,EYds
0,B.Roethlisberger,540.76,1265.14,4512.73
1,D.Prescott,489.06,1086.81,4130.29
2,J.Winston,498.07,909.75,4353.59
3,D.Watson,221.0,864.83,2777.44
4,A.Smith,513.79,686.46,3051.32
5,M.Mariota,459.52,611.12,3936.42
6,M.Stafford,595.36,548.41,3486.68
7,K.Cousins,577.38,493.89,3434.03
8,D.Brees,579.31,459.55,3526.38
9,C.Wentz,508.35,419.86,2854.29
10,M.Ryan,538.52,412.63,2330.73
11,C.Keenum,433.82,398.34,2489.23
12,J.Garoppolo,140.64,394.25,1093.45
13,P.Rivers,578.98,384.95,2054.24
14,A.Rodgers,373.18,368.15,2077.87
15,J.Goff,394.95,343.8,3188.48
16,R.Wilson,574.16,343.44,3139.9
17,D.Carr,527.6,289.4,2824.51
18,B.Bortles,563.9,202.94,3155.6
19,A.Dalton,538.52,200.24,2080.2
20,T.Taylor,453.1,175.64,2565.08
21,T.Brady,539.46,146.02,2926.54
22,S.Bradford,220.02,128.31,879.46
23,P.Mahomes,37.0,93.97,471.97
24,M.Moore,116.56,77.9,627.48
25,E.Manning,585.72,73.7,3136.63
26,C.Newton,511.55,65.29,3020.24
27,R.Fitzpatrick,245.04,56.64,1795.33
28,C.Palmer,392.12,48.06,2008.77
29,D.Fales,44.0,44.2,242.21
30,B.Hoyer,211.94,43.21,705.27
31,EJ Manuel,39.5,17.46,199.35
32,R.Mallett,89.94,14.68,407.15
33,J.Cutler,339.07,12.05,1739.86
34,C.Kessler,89.29,0.98,606.23
35,AJ McCarron,15.0,0.0,56.58
36,L.Jones,48.49,-0.85,308.98
37,S.Tolzien,26.98,-10.64,89.99
38,N.Foles,87.66,-16.44,451.08
39,J.McCown,339.72,-16.94,1668.97
40,G.Smith,30.5,-17.19,166.69
41,J.Brissett,352.22,-18.36,1738.78
42,N.Sudfeld,26.0,-32.59,143.91
43,T.J.Yates,90.55,-33.13,268.47
44,D.Stanton,122.01,-40.0,533.09
45,M.Glennon,99.85,-43.59,524.56
46,K.Hogan,61.65,-44.92,315.68
47,J.Flacco,593.44,-55.99,1855.96
48,T.Savage,181.1,-74.64,949.63
49,T.Siemian,411.05,-77.95,2347.98
50,M.Cassel,49.45,-81.71,231.0
51,P.Lynch,63.91,-87.16,392.65
52,B.Gabbert,179.82,-99.74,907.87
53,S.Mannion,40.0,-116.15,147.69
54,B.Petty,124.6,-165.74,571.0
55,M.Trubisky,362.0,-169.92,2445.92
56,B.Osweiler,287.44,-181.97,1530.2
57,C.J.Beathard,243.0,-260.75,1682.44
58,N.Peterman,50.0,-277.01,301.26
59,B.Hundley,226.36,-305.88,1380.49
60,D.Kizer,514.0,-1315.52,4700.42
